time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,MRI-ESM2-0,GFDL-ESM4
2000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0,8731455700000.0
2001.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0,8702151000000.0
2002.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0,8675032000000.0
2003.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0,8655382500000.0
2004.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0,8624700700000.0
2005.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0,8607442000000.0
2006.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0,8605370000000.0
2007.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0,8578066300000.0
2008.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0,8537507000000.0
2009.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0,8501300600000.0
2010.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0,8462647000000.0
2011.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0,8419587700000.0
2012.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0,8386572700000.0
2013.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0,8360661000000.0
2014.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0,8338154000000.0
2015.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0,8298234000000.0
2016.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0,8260712000000.0
2017.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0,8221308000000.0
2018.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0,8202588000000.0
2019.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0,8176226300000.0
2020.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0,8139182000000.0
2021.0,8134249700000.0,8127952000000.0,8131819600000.0,8113586400000.0,8102817000000.0
2022.0,8069435000000.0,8149579000000.0,8094998000000.0,8102059400000.0,8046282000000.0
2023.0,8007807000000.0,8137077700000.0,8066711400000.0,8025252300000.0,8019723700000.0
2024.0,7986782000000.0,8100671000000.0,8015727000000.0,7978479000000.0,7952334300000.0
2025.0,7947984000000.0,8060021000000.0,7958873000000.0,7929888500000.0,7915996000000.0
2026.0,7879384000000.0,8020572500000.0,7887960000000.0,7879207700000.0,7877360600000.0
2027.0,7847395000000.0,7997395300000.0,7843328000000.0,7831964600000.0,7822723500000.0
2028.0,7800081600000.0,7967598400000.0,7782855600000.0,7782002000000.0,7778825400000.0
2029.0,7736824700000.0,7944984000000.0,7720411300000.0,7739465000000.0,7743626000000.0
2030.0,7692350400000.0,7905102000000.0,7670971000000.0,7708318000000.0,7730833000000.0
2031.0,7661226600000.0,7864949700000.0,7573824000000.0,7712143000000.0,7688911000000.0
2032.0,7586714000000.0,7825955000000.0,7547174000000.0,7670561000000.0,7637037000000.0
2033.0,7568800400000.0,7793750000000.0,7429225400000.0,7630691000000.0,7630454000000.0
2034.0,7513335000000.0,7767210300000.0,7371502000000.0,7571544500000.0,7598567000000.0
2035.0,7475494400000.0,7725615000000.0,7285978000000.0,7526340000000.0,7566263000000.0
2036.0,7437502000000.0,7698620000000.0,7213846400000.0,7507577700000.0,7529711500000.0
2037.0,7411585000000.0,7658185700000.0,7124307000000.0,7455067600000.0,7511676600000.0
2038.0,7354384400000.0,7605759500000.0,7048860300000.0,7396434400000.0,7483225000000.0
2039.0,7343709400000.0,7568171700000.0,7004001700000.0,7349134000000.0,7462549000000.0
2040.0,7312647000000.0,7530788000000.0,6889330400000.0,7332651600000.0,7411996300000.0
2041.0,7262159500000.0,7475249000000.0,6815058000000.0,7277182000000.0,7365236600000.0
2042.0,7198973400000.0,7438404000000.0,6713439700000.0,7257048000000.0,7312525000000.0
2043.0,7142373000000.0,7419794600000.0,6625656600000.0,7193856000000.0,7290645600000.0
