time,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,UKESM1-0-LL
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14450106000000.0,14522784000000.0,14494213000000.0,14588381000000.0,14463594000000.0
2022.0,14369239000000.0,14508400000000.0,14418675000000.0,14461778000000.0,14346363000000.0
2023.0,14224768000000.0,14484339000000.0,14346098000000.0,14383294000000.0,14243002000000.0
2024.0,14139991000000.0,14440228000000.0,14330761000000.0,14327063000000.0,14123357000000.0
2025.0,13973182000000.0,14319624000000.0,14230136000000.0,14330563000000.0,13970278000000.0
2026.0,13848424000000.0,14261095000000.0,14182519000000.0,14262211000000.0,13828022000000.0
2027.0,13731707000000.0,14182653000000.0,14153040000000.0,14174876000000.0,13680646000000.0
2028.0,13598972000000.0,14120362000000.0,14075078000000.0,14101215000000.0,13596376000000.0
2029.0,13494943000000.0,14076510000000.0,14027835000000.0,14003066000000.0,13421419000000.0
2030.0,13414885000000.0,13975689000000.0,13973549000000.0,13926061000000.0,13343886000000.0
2031.0,13311129000000.0,13928255000000.0,13933724000000.0,13866093000000.0,13231140000000.0
2032.0,13170352000000.0,13886477000000.0,13929367000000.0,13812173000000.0,13053593000000.0
2033.0,13162916000000.0,13839026000000.0,13812695000000.0,13758287000000.0,12858277000000.0
2034.0,13089187000000.0,13760786000000.0,13756088000000.0,13662443000000.0,12691446000000.0
2035.0,12969152000000.0,13743422000000.0,13667220000000.0,13563913000000.0,12495099000000.0
2036.0,12871552000000.0,13673739000000.0,13551069000000.0,13508430000000.0,12361784000000.0
2037.0,12805994000000.0,13645431000000.0,13496273000000.0,13451558000000.0,12191178000000.0
2038.0,12679346000000.0,13610449000000.0,13446720000000.0,13400258000000.0,12052389000000.0
2039.0,12570510000000.0,13575062000000.0,13390415000000.0,13279205000000.0,11921588000000.0
2040.0,12503789000000.0,13504252000000.0,13295713000000.0,13208185000000.0,11726979000000.0
2041.0,12430101000000.0,13481270000000.0,13266245000000.0,13175597000000.0,11604610000000.0
2042.0,12360858000000.0,13405428000000.0,13191555000000.0,13113495000000.0,11504412000000.0
2043.0,12281896000000.0,13411363000000.0,13156347000000.0,13078653000000.0,11367993000000.0
2044.0,12245605000000.0,13386535000000.0,13061932000000.0,13031289000000.0,11167461000000.0
2045.0,12170169000000.0,13360291000000.0,13012423000000.0,12956810000000.0,11000718000000.0
2046.0,12060644000000.0,13325074000000.0,12985564000000.0,12858255000000.0,10835259000000.0
2047.0,11938950000000.0,13251054000000.0,12929133000000.0,12814983000000.0,10652838000000.0
2048.0,11903670000000.0,13197230000000.0,12836692000000.0,12725200000000.0,10518373000000.0
2049.0,11840896000000.0,13185749000000.0,12760161000000.0,12648683000000.0,10345603000000.0
2050.0,11775849000000.0,13143345000000.0,12657139000000.0,12588181000000.0,10211367000000.0
2051.0,11730780000000.0,13061351000000.0,12595749000000.0,12519803000000.0,10013573000000.0
2052.0,11663237000000.0,13005057000000.0,12487710000000.0,12456595000000.0,9844446000000.0
2053.0,11573898000000.0,12945891000000.0,12402625000000.0,12404764000000.0,9709582000000.0
2054.0,11471818000000.0,12851447000000.0,12343323000000.0,12316789000000.0,9551175000000.0
2055.0,11377558000000.0,12864786000000.0,12281187000000.0,12278058000000.0,9370453000000.0
2056.0,11339972000000.0,12800336000000.0,12215867000000.0,12247910000000.0,9263170000000.0
2057.0,11237559000000.0,12735696000000.0,12158889000000.0,12133708000000.0,9105444000000.0
2058.0,11144440000000.0,12677446000000.0,12099186000000.0,12066677000000.0,8959139000000.0
2059.0,11063597000000.0,12651215000000.0,12022878000000.0,12010153000000.0,8802448000000.0
2060.0,10965791000000.0,12598299000000.0,11941499000000.0,12002710000000.0,8673134000000.0
2061.0,10899490000000.0,12533776000000.0,11833596000000.0,11948194000000.0,8545752300000.0
2062.0,10840648000000.0,12462937000000.0,11748619000000.0,11877039000000.0,8424245000000.0
2063.0,10760331000000.0,12431154000000.0,11662187000000.0,11830281000000.0,8330949400000.0
2064.0,10749949000000.0,12408967000000.0,11552884000000.0,11785147000000.0,8197906600000.0
2065.0,10726994000000.0,12381355000000.0,11484675000000.0,11708482000000.0,8055193300000.0
