time,IPSL-CM6A-LR,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL
2000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0,15366526000000.0
2001.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0,15334373000000.0
2002.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0,15304924000000.0
2003.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0,15238640000000.0
2004.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0,15135495000000.0
2005.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0,15089763000000.0
2006.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0,15048775000000.0
2007.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0,15033532000000.0
2008.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0,14993158000000.0
2009.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0,14941122000000.0
2010.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0,14858800000000.0
2011.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0,14780389000000.0
2012.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0,14745513000000.0
2013.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0,14719415000000.0
2014.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0,14706075000000.0
2015.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0,14670908000000.0
2016.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0,14681767000000.0
2017.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0,14647620000000.0
2018.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0,14631926000000.0
2019.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0,14667744000000.0
2020.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0,14583516000000.0
2021.0,14510189000000.0,14525906000000.0,14387329000000.0,14542620000000.0,14551340000000.0
2022.0,14492819000000.0,14479642000000.0,14262636000000.0,14486052000000.0,14457140000000.0
2023.0,14480972000000.0,14397900000000.0,14160243000000.0,14406219000000.0,14371825000000.0
2024.0,14449141000000.0,14343857000000.0,14130879000000.0,14362905000000.0,14207904000000.0
2025.0,14381567000000.0,14309172000000.0,14133527000000.0,14287207000000.0,14071758000000.0
2026.0,14360315000000.0,14240248000000.0,14053539000000.0,14235290000000.0,13971649000000.0
2027.0,14328368000000.0,14242713000000.0,13958954000000.0,14146130000000.0,13866482000000.0
2028.0,14239702000000.0,14152642000000.0,13850076000000.0,14067987000000.0,13770491000000.0
2029.0,14203529000000.0,14029079000000.0,13739061000000.0,14059809000000.0,13618174000000.0
2030.0,14149643000000.0,14008622000000.0,13649425000000.0,14013673000000.0,13538002000000.0
2031.0,14084905000000.0,13937706000000.0,13550965000000.0,13921945000000.0,13384835000000.0
2032.0,14026290000000.0,13890944000000.0,13488024000000.0,13833490000000.0,13232243000000.0
2033.0,13956784000000.0,13812809000000.0,13418344000000.0,13771662000000.0,13083046000000.0
2034.0,13894458000000.0,13798072000000.0,13364947000000.0,13684599000000.0,12942602000000.0
2035.0,13855363000000.0,13714308000000.0,13276609000000.0,13601120000000.0,12777842000000.0
2036.0,13782510000000.0,13645371000000.0,13166745000000.0,13542344000000.0,12596756000000.0
2037.0,13732827000000.0,13571770000000.0,12989979000000.0,13479344000000.0,12440280000000.0
2038.0,13661372000000.0,13490391000000.0,12955955000000.0,13382606000000.0,12295222000000.0
2039.0,13626988000000.0,13399980000000.0,12910264000000.0,13283534000000.0,12082948000000.0
2040.0,13561597000000.0,13337633000000.0,12801887000000.0,13218114000000.0,11925225000000.0
2041.0,13430983000000.0,13291345000000.0,12778369000000.0,13129411000000.0,11778487000000.0
2042.0,13347393000000.0,13235417000000.0,12751397000000.0,13058428000000.0,11584371000000.0
2043.0,13267972000000.0,13172451000000.0,12645670000000.0,13022264000000.0,11386661000000.0
2044.0,13179526000000.0,13108686000000.0,12492373000000.0,12961242000000.0,11234919000000.0
2045.0,13068551000000.0,13049326000000.0,12442324000000.0,12911248000000.0,11079741000000.0
2046.0,12953036000000.0,12991569000000.0,12362322000000.0,12806474000000.0,10909249000000.0
2047.0,12840787000000.0,12937092000000.0,12277217000000.0,12730942000000.0,10663900000000.0
2048.0,12727566000000.0,12859769000000.0,12118066000000.0,12625537000000.0,10446701000000.0
2049.0,12632754000000.0,12779972000000.0,11982331000000.0,12579445000000.0,10289619000000.0
2050.0,12531776000000.0,12698461000000.0,11947387000000.0,12497560000000.0,10132851000000.0
2051.0,12430710000000.0,12630524000000.0,11881254000000.0,12451502000000.0,9941664000000.0
2052.0,12320683000000.0,12546915000000.0,11813182000000.0,12384604000000.0,9736153000000.0
2053.0,12262110000000.0,12455846000000.0,11716411000000.0,12317916000000.0,9539802000000.0
2054.0,12121097000000.0,12373728000000.0,11592292000000.0,12223100000000.0,9334715000000.0
2055.0,12032369000000.0,12318839000000.0,11384190000000.0,12141622000000.0,9115733000000.0
2056.0,11939874000000.0,12234295000000.0,11216080000000.0,12098931000000.0,8934500000000.0
2057.0,11881903000000.0,12146984000000.0,11076392000000.0,12048589000000.0,8789811000000.0
2058.0,11791248000000.0,12036179000000.0,11021462000000.0,11937389000000.0,8609966000000.0
2059.0,11681500000000.0,11971594000000.0,10903256000000.0,11830811000000.0,8397535000000.0
2060.0,11533795000000.0,11872121000000.0,10868858000000.0,11704743000000.0,8215355500000.0
2061.0,11419221000000.0,11800163000000.0,10772710000000.0,11619377000000.0,8030888000000.0
2062.0,11297401000000.0,11738595000000.0,10684472000000.0,11561343000000.0,7808035000000.0
2063.0,11152930000000.0,11658404000000.0,10545560000000.0,11434737000000.0,7628741700000.0
2064.0,10987571000000.0,11580994000000.0,10420999000000.0,11347882000000.0,7482122400000.0
2065.0,10832802000000.0,11481195000000.0,10347774000000.0,11197951000000.0,7296036400000.0
