time,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3449860700000.0,3436678000000.0,3447697700000.0,3432767300000.0,3444779800000.0
2022.0,3443766600000.0,3417354300000.0,3429291000000.0,3399770000000.0,3427113600000.0
2023.0,3432549200000.0,3382401800000.0,3420761600000.0,3361299000000.0,3413548000000.0
2024.0,3424070700000.0,3345980000000.0,3411933000000.0,3356002400000.0,3406083700000.0
2025.0,3400172600000.0,3300688100000.0,3396275000000.0,3323316700000.0,3398792400000.0
2026.0,3381443200000.0,3263303800000.0,3379648000000.0,3295001700000.0,3386190000000.0
2027.0,3378597900000.0,3208074000000.0,3359155700000.0,3261114000000.0,3367184000000.0
2028.0,3366270000000.0,3179081400000.0,3338411200000.0,3230016500000.0,3343254300000.0
2029.0,3360480600000.0,3143563500000.0,3317601700000.0,3204761800000.0,3327692000000.0
2030.0,3349020400000.0,3114032000000.0,3297612100000.0,3186033200000.0,3313330000000.0
2031.0,3335196500000.0,3079495500000.0,3284840500000.0,3163064600000.0,3309127600000.0
2032.0,3310181200000.0,3026779400000.0,3278255700000.0,3124148800000.0,3292770600000.0
2033.0,3279386800000.0,2994563000000.0,3259256500000.0,3104101400000.0,3276984800000.0
2034.0,3265083200000.0,2964811700000.0,3247835200000.0,3077819300000.0,3268090500000.0
2035.0,3249028700000.0,2931727500000.0,3239226000000.0,3041788400000.0,3243501400000.0
2036.0,3220575600000.0,2900900200000.0,3227465000000.0,3015729500000.0,3234533500000.0
2037.0,3207863000000.0,2876418600000.0,3221543000000.0,2996403000000.0,3222616000000.0
2038.0,3189594000000.0,2849963200000.0,3210959000000.0,2971862800000.0,3206346700000.0
2039.0,3170519000000.0,2817519500000.0,3195487400000.0,2948147200000.0,3189239700000.0
2040.0,3149182300000.0,2764407300000.0,3183337300000.0,2916914800000.0,3179589000000.0
2041.0,3146537500000.0,2733900000000.0,3172580500000.0,2873103500000.0,3164380000000.0
2042.0,3136044700000.0,2701584800000.0,3161118700000.0,2847501500000.0,3156762700000.0
2043.0,3126063000000.0,2663749500000.0,3159743500000.0,2824282300000.0,3141359400000.0
2044.0,3122734600000.0,2619298800000.0,3148505000000.0,2802521700000.0,3126341700000.0
2045.0,3113778200000.0,2583660900000.0,3137610200000.0,2785298600000.0,3117005100000.0
2046.0,3090628200000.0,2545337500000.0,3123170800000.0,2748912200000.0,3100796000000.0
2047.0,3079764000000.0,2489884300000.0,3113024700000.0,2721577200000.0,3092817400000.0
2048.0,3053910500000.0,2453019600000.0,3099563000000.0,2691110800000.0,3080617200000.0
2049.0,3035664000000.0,2415367000000.0,3082312200000.0,2672971500000.0,3064276200000.0
2050.0,3021065200000.0,2383712400000.0,3062248500000.0,2647939400000.0,3057442000000.0
2051.0,3000680000000.0,2325451400000.0,3038720300000.0,2631959000000.0,3045729800000.0
2052.0,2980004000000.0,2281841000000.0,3019478400000.0,2612747300000.0,3029380000000.0
2053.0,2958862600000.0,2245382400000.0,3009831500000.0,2590184600000.0,3024735400000.0
2054.0,2942890700000.0,2204590000000.0,3006187000000.0,2566790800000.0,3004651000000.0
2055.0,2925963800000.0,2168567400000.0,2997554000000.0,2547665600000.0,2997572000000.0
2056.0,2908078500000.0,2137573800000.0,2983676300000.0,2534789300000.0,2988602800000.0
2057.0,2882733300000.0,2109052600000.0,2969562800000.0,2517691300000.0,2974329300000.0
2058.0,2869978500000.0,2076138400000.0,2968038100000.0,2493823300000.0,2966499400000.0
2059.0,2848144200000.0,2036898900000.0,2960467400000.0,2476254000000.0,2962503000000.0
2060.0,2829405700000.0,2015408600000.0,2938683300000.0,2468237800000.0,2957215000000.0
2061.0,2811741600000.0,1976886600000.0,2922793100000.0,2444860900000.0,2936151000000.0
2062.0,2792463800000.0,1943482000000.0,2905816200000.0,2423961400000.0,2923227300000.0
2063.0,2770412000000.0,1912055500000.0,2899116800000.0,2404625700000.0,2907427800000.0
2064.0,2742526000000.0,1876629300000.0,2886869200000.0,2388323200000.0,2895509200000.0
