time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,GFDL-ESM4
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3464811200000.0,3429691600000.0,3439623000000.0,3426754000000.0,3448214000000.0
2022.0,3459170400000.0,3409752000000.0,3421949700000.0,3386746900000.0,3437054100000.0
2023.0,3442770700000.0,3387111000000.0,3407601200000.0,3347273500000.0,3424687500000.0
2024.0,3437507400000.0,3347252500000.0,3395456300000.0,3328563700000.0,3411901700000.0
2025.0,3410683200000.0,3317531000000.0,3376503800000.0,3320909000000.0,3392468400000.0
2026.0,3396041400000.0,3288240500000.0,3363333700000.0,3296777500000.0,3379057100000.0
2027.0,3390032800000.0,3259626700000.0,3356035600000.0,3269446600000.0,3378677800000.0
2028.0,3372071500000.0,3225217700000.0,3344681000000.0,3240975000000.0,3355030000000.0
2029.0,3358534700000.0,3192413700000.0,3315653700000.0,3199274600000.0,3349934200000.0
2030.0,3341618800000.0,3161230000000.0,3298536500000.0,3168713800000.0,3339633800000.0
2031.0,3330128500000.0,3122495000000.0,3292330500000.0,3141527000000.0,3322790500000.0
2032.0,3315962200000.0,3075113200000.0,3270269000000.0,3120413000000.0,3308214000000.0
2033.0,3307233300000.0,3025082300000.0,3262046800000.0,3101427200000.0,3299981000000.0
2034.0,3298407500000.0,2971924700000.0,3240237200000.0,3063487000000.0,3284170000000.0
2035.0,3293852500000.0,2921132000000.0,3232166800000.0,3030393300000.0,3271963400000.0
2036.0,3278721800000.0,2890304600000.0,3213226400000.0,2998850300000.0,3263752600000.0
2037.0,3261620300000.0,2852332500000.0,3197086500000.0,2964934600000.0,3256319500000.0
2038.0,3246428500000.0,2800701400000.0,3179046000000.0,2944639200000.0,3245328600000.0
2039.0,3235205600000.0,2749689200000.0,3164425700000.0,2913374800000.0,3229052800000.0
2040.0,3212557700000.0,2697015300000.0,3144885000000.0,2877257400000.0,3226781400000.0
2041.0,3202147400000.0,2664581000000.0,3122556000000.0,2847640400000.0,3214686800000.0
2042.0,3195615800000.0,2629316000000.0,3101372200000.0,2814205800000.0,3199575500000.0
2043.0,3185974400000.0,2553177700000.0,3079753400000.0,2772233000000.0,3186421100000.0
2044.0,3179051700000.0,2501702000000.0,3060733600000.0,2740121500000.0,3175087000000.0
2045.0,3159835000000.0,2443917100000.0,3024775300000.0,2718639800000.0,3155298400000.0
2046.0,3148291200000.0,2417636700000.0,2992985900000.0,2696897600000.0,3133576800000.0
2047.0,3131238000000.0,2370086000000.0,2955277000000.0,2666012000000.0,3105650400000.0
2048.0,3112671000000.0,2305768300000.0,2925957200000.0,2628809000000.0,3086704200000.0
2049.0,3099292900000.0,2249848500000.0,2909058000000.0,2599243200000.0,3070131400000.0
2050.0,3085798200000.0,2202809000000.0,2887092300000.0,2568021900000.0,3042983300000.0
2051.0,3069681900000.0,2156880900000.0,2855086000000.0,2547957400000.0,3027506800000.0
2052.0,3056107500000.0,2102649000000.0,2828265800000.0,2527991000000.0,3010010800000.0
2053.0,3043490800000.0,2041828900000.0,2805070000000.0,2502859000000.0,2987595000000.0
2054.0,3026033600000.0,1993971000000.0,2777049700000.0,2473797000000.0,2957252500000.0
2055.0,3007886000000.0,1952941700000.0,2740363700000.0,2446136700000.0,2925921000000.0
2056.0,2995364300000.0,1902228300000.0,2707450500000.0,2418517000000.0,2907496300000.0
2057.0,2981099200000.0,1854203800000.0,2695039500000.0,2384480400000.0,2889778200000.0
2058.0,2962186800000.0,1806934000000.0,2666938500000.0,2362786200000.0,2863626500000.0
2059.0,2939438500000.0,1764595500000.0,2649692600000.0,2333213000000.0,2838910500000.0
2060.0,2917774700000.0,1719476200000.0,2631298200000.0,2318714300000.0,2809150000000.0
2061.0,2898453300000.0,1678575400000.0,2600094100000.0,2290932800000.0,2776145300000.0
2062.0,2886576600000.0,1635952900000.0,2574943800000.0,2261794000000.0,2753805000000.0
2063.0,2872890000000.0,1596750700000.0,2551685300000.0,2237396200000.0,2728807000000.0
2064.0,2856207300000.0,1555322600000.0,2527344700000.0,2215864700000.0,2699640200000.0
