time,MRI-ESM2-0,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4
2000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0,3655101800000.0
2001.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0,3639392900000.0
2002.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0,3628705800000.0
2003.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0,3626129000000.0
2004.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0,3614964000000.0
2005.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0,3601469000000.0
2006.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0,3594644400000.0
2007.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0,3587332000000.0
2008.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0,3585891400000.0
2009.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0,3567340500000.0
2010.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0,3561680300000.0
2011.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0,3537502200000.0
2012.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0,3538741000000.0
2013.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0,3538263500000.0
2014.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0,3536535200000.0
2015.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0,3525031800000.0
2016.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0,3523243700000.0
2017.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0,3505864800000.0
2018.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0,3488422600000.0
2019.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0,3483754800000.0
2020.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0,3460928400000.0
2021.0,3443086600000.0,3445815500000.0,3429490500000.0,3443179400000.0,3450275600000.0
2022.0,3424307000000.0,3432081500000.0,3411893300000.0,3429539300000.0,3440142000000.0
2023.0,3397095500000.0,3409997700000.0,3397286600000.0,3414207500000.0,3431270700000.0
2024.0,3356799300000.0,3399153400000.0,3385876500000.0,3376888700000.0,3413233400000.0
2025.0,3330245000000.0,3384698000000.0,3374586500000.0,3352652400000.0,3398574800000.0
2026.0,3301259300000.0,3367516500000.0,3371395700000.0,3327014500000.0,3393495000000.0
2027.0,3275167000000.0,3353430500000.0,3365653000000.0,3289977200000.0,3378824000000.0
2028.0,3264620500000.0,3332991600000.0,3354807200000.0,3247380400000.0,3367194000000.0
2029.0,3231118000000.0,3321502600000.0,3349523000000.0,3217340200000.0,3363490800000.0
2030.0,3197635000000.0,3300312500000.0,3341234700000.0,3185208200000.0,3344642600000.0
2031.0,3165810000000.0,3277553100000.0,3324224000000.0,3157176600000.0,3343111700000.0
2032.0,3132290000000.0,3252336200000.0,3308069600000.0,3128567800000.0,3326452700000.0
2033.0,3093987000000.0,3233003900000.0,3291215800000.0,3076127000000.0,3307721700000.0
2034.0,3058688900000.0,3210503800000.0,3278084000000.0,3036463500000.0,3300230400000.0
2035.0,3017086000000.0,3179645800000.0,3254731400000.0,2999243500000.0,3284601700000.0
2036.0,2986449600000.0,3173473000000.0,3242755600000.0,2966083300000.0,3269715300000.0
2037.0,2965503000000.0,3163067500000.0,3233891200000.0,2943250300000.0,3258350000000.0
2038.0,2923983500000.0,3147733100000.0,3216993400000.0,2905047600000.0,3233320300000.0
2039.0,2898471400000.0,3128750000000.0,3195819500000.0,2863057300000.0,3206406000000.0
2040.0,2865502000000.0,3110908700000.0,3178873000000.0,2836905300000.0,3184704000000.0
2041.0,2838522500000.0,3100238400000.0,3161864800000.0,2787390300000.0,3152402000000.0
2042.0,2800511000000.0,3088244300000.0,3150568500000.0,2748110900000.0,3123740700000.0
2043.0,2769403800000.0,3061314200000.0,3128903000000.0,2714816700000.0,3112472200000.0
2044.0,2736581500000.0,3048298000000.0,3099345300000.0,2678779800000.0,3093875700000.0
2045.0,2704240300000.0,3017717000000.0,3084721300000.0,2624197500000.0,3087819000000.0
2046.0,2671025300000.0,2985884400000.0,3062471300000.0,2566767800000.0,3072014700000.0
2047.0,2630345000000.0,2953333700000.0,3046790700000.0,2518395000000.0,3061588400000.0
2048.0,2585828500000.0,2922759600000.0,3031587600000.0,2460433300000.0,3052485700000.0
2049.0,2554662500000.0,2885230000000.0,3023497300000.0,2401632800000.0,3019157000000.0
2050.0,2508105700000.0,2859995000000.0,3004619600000.0,2343526000000.0,2993141300000.0
2051.0,2472424500000.0,2837598400000.0,2997641500000.0,2298352000000.0,2982426400000.0
2052.0,2437066800000.0,2801984600000.0,2971048600000.0,2247189900000.0,2967608000000.0
2053.0,2402791500000.0,2774611500000.0,2951904200000.0,2201718400000.0,2949101000000.0
2054.0,2361860800000.0,2733798000000.0,2935124100000.0,2151443100000.0,2934291000000.0
2055.0,2329737700000.0,2687071000000.0,2911390700000.0,2112092200000.0,2916271800000.0
2056.0,2299177500000.0,2651828800000.0,2894281000000.0,2062443600000.0,2899113400000.0
2057.0,2267552000000.0,2608481200000.0,2875373600000.0,2010734900000.0,2881598000000.0
2058.0,2235473600000.0,2575937300000.0,2854762800000.0,1965130100000.0,2868891600000.0
2059.0,2213499000000.0,2549295600000.0,2852786000000.0,1909527200000.0,2843456800000.0
2060.0,2186020100000.0,2524010000000.0,2837654800000.0,1864704500000.0,2811043000000.0
2061.0,2152790500000.0,2482550600000.0,2830541000000.0,1807774600000.0,2788180000000.0
2062.0,2127861600000.0,2452619000000.0,2820618000000.0,1759783600000.0,2772490000000.0
2063.0,2101624800000.0,2416220300000.0,2801170600000.0,1717096500000.0,2762808800000.0
2064.0,2072158300000.0,2381817300000.0,2796139600000.0,1670784100000.0,2743929700000.0
