time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7213029500000.0,7281455000000.0,7260801000000.0,7222261000000.0,7277044600000.0
2022.0,7147803400000.0,7268724000000.0,7246052300000.0,7188910000000.0,7258579700000.0
2023.0,7042407300000.0,7249703000000.0,7260952000000.0,7193787600000.0,7247006500000.0
2024.0,6924441000000.0,7238332700000.0,7220462400000.0,7156018400000.0,7241650000000.0
2025.0,6831864000000.0,7220655000000.0,7192026000000.0,7130147000000.0,7234576700000.0
2026.0,6711039000000.0,7167857000000.0,7154547300000.0,7108756000000.0,7207100400000.0
2027.0,6619179000000.0,7121882000000.0,7129222000000.0,7054994400000.0,7181083600000.0
2028.0,6558391000000.0,7072465300000.0,7092674000000.0,7004810000000.0,7157325000000.0
2029.0,6444649300000.0,7043276000000.0,7096799000000.0,6980986000000.0,7130521300000.0
2030.0,6334757500000.0,6964503000000.0,7077325000000.0,6963569600000.0,7116048300000.0
2031.0,6225652600000.0,6932877300000.0,7074758500000.0,6891328000000.0,7097404600000.0
2032.0,6094909300000.0,6901724600000.0,7050261700000.0,6850649000000.0,7025847700000.0
2033.0,6004985000000.0,6856547000000.0,7011581300000.0,6822619000000.0,7011006700000.0
2034.0,5916395000000.0,6776589000000.0,7012511000000.0,6806787000000.0,6996374000000.0
2035.0,5779313000000.0,6709342400000.0,7013342000000.0,6747033000000.0,6963407000000.0
2036.0,5709456000000.0,6641060000000.0,6994908000000.0,6710398300000.0,6938961600000.0
2037.0,5605441000000.0,6606897500000.0,6980601600000.0,6635786300000.0,6928397000000.0
2038.0,5476361700000.0,6564707600000.0,6971307600000.0,6574498600000.0,6919375000000.0
2039.0,5368608000000.0,6469552000000.0,6963912500000.0,6519332000000.0,6880072600000.0
2040.0,5208268000000.0,6386779000000.0,6933622300000.0,6495898000000.0,6876034500000.0
2041.0,5047530300000.0,6338167000000.0,6929210000000.0,6440170300000.0,6865541400000.0
2042.0,4880497400000.0,6316817000000.0,6921895000000.0,6341864700000.0,6854918000000.0
2043.0,4732459000000.0,6295409000000.0,6903671000000.0,6300483700000.0,6837019000000.0
