time,UKESM1-0-LL,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4,IPSL-CM6A-LR
2000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0,7517283000000.0
2001.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0,7521903000000.0
2002.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0,7506404300000.0
2003.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0,7479964500000.0
2004.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0,7464211000000.0
2005.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0,7443374000000.0
2006.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0,7419606300000.0
2007.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0,7405425400000.0
2008.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0,7388509000000.0
2009.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0,7386059000000.0
2010.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0,7380620300000.0
2011.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0,7379078300000.0
2012.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0,7367241500000.0
2013.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0,7371746700000.0
2014.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0,7329179000000.0
2015.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0,7322720000000.0
2016.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0,7316058400000.0
2017.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0,7317523300000.0
2018.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0,7307359400000.0
2019.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0,7314076600000.0
2020.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0,7282518700000.0
2021.0,7194762300000.0,7261373600000.0,7283499600000.0,7246880700000.0,7267806000000.0
2022.0,7126771600000.0,7239571000000.0,7274737000000.0,7255040000000.0,7268350300000.0
2023.0,7033793300000.0,7195890500000.0,7268765500000.0,7223617500000.0,7278697000000.0
2024.0,6965335400000.0,7104108700000.0,7280049000000.0,7215987600000.0,7277412600000.0
2025.0,6888643600000.0,7062003000000.0,7261886000000.0,7182026300000.0,7291794400000.0
2026.0,6817032000000.0,7007098600000.0,7261458500000.0,7169280000000.0,7303432500000.0
2027.0,6752040400000.0,6960412400000.0,7253029000000.0,7152053000000.0,7252856000000.0
2028.0,6612608600000.0,6901049000000.0,7213701000000.0,7134925300000.0,7214236400000.0
2029.0,6491704000000.0,6851252500000.0,7177033000000.0,7122804300000.0,7191785400000.0
2030.0,6375251400000.0,6786915000000.0,7169238400000.0,7087267000000.0,7139312000000.0
2031.0,6271071000000.0,6746283700000.0,7149270300000.0,7057789400000.0,7077422400000.0
2032.0,6099554000000.0,6709135300000.0,7130879000000.0,7036117500000.0,7051052300000.0
2033.0,5975769600000.0,6679651400000.0,7119432600000.0,7016254000000.0,7021216700000.0
2034.0,5807737000000.0,6638873300000.0,7102625500000.0,6997209500000.0,7022727700000.0
2035.0,5676125400000.0,6539982000000.0,7085423600000.0,6986016500000.0,7006207300000.0
2036.0,5551745400000.0,6492569700000.0,7064878000000.0,6983645000000.0,6982703000000.0
2037.0,5395822000000.0,6419840000000.0,7033976000000.0,6979345400000.0,6957013000000.0
2038.0,5267693500000.0,6352230000000.0,7003643600000.0,6968199600000.0,6957329000000.0
2039.0,5096939000000.0,6253407000000.0,6968992000000.0,6910250600000.0,6894585400000.0
2040.0,4943482700000.0,6117542300000.0,6921908600000.0,6887649000000.0,6817308500000.0
2041.0,4735834000000.0,5999454000000.0,6887924300000.0,6890158000000.0,6790910000000.0
2042.0,4585233600000.0,5881979700000.0,6801218600000.0,6893409400000.0,6702665600000.0
2043.0,4424838700000.0,5789723000000.0,6737017400000.0,6860387000000.0,6634024000000.0
