time,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,UKESM1-0-LL
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,257433830000.0,260476400000.0,259187470000.0,261647560000.0,257542230000.0
2022.0,256319680000.0,261171760000.0,253961800000.0,257478150000.0,249601900000.0
2023.0,253694210000.0,262928710000.0,250345280000.0,255717670000.0,235456100000.0
2024.0,253473210000.0,263568200000.0,249883620000.0,252322730000.0,227237070000.0
2025.0,251453340000.0,258725860000.0,246921700000.0,248102160000.0,221996190000.0
2026.0,248998610000.0,255800640000.0,243324030000.0,242866630000.0,216208260000.0
2027.0,244381090000.0,252302380000.0,238567690000.0,240918800000.0,206806650000.0
2028.0,242362380000.0,251723070000.0,231130280000.0,234948700000.0,201900000000.0
2029.0,238699300000.0,249070450000.0,225083570000.0,232630060000.0,192976520000.0
2030.0,232734280000.0,248676530000.0,223231660000.0,229331190000.0,189758360000.0
2031.0,232122830000.0,243423900000.0,222574400000.0,227396570000.0,186595440000.0
2032.0,226898790000.0,238404550000.0,219666140000.0,223585930000.0,179719520000.0
2033.0,225138670000.0,236358010000.0,215188180000.0,219607100000.0,173069570000.0
2034.0,224398310000.0,231414630000.0,209731060000.0,220160410000.0,170457630000.0
2035.0,219972940000.0,226694090000.0,202298310000.0,218938980000.0,164391370000.0
2036.0,218984250000.0,220434760000.0,200853880000.0,214920530000.0,161818820000.0
2037.0,218491880000.0,216557960000.0,195199320000.0,212538470000.0,158866830000.0
2038.0,213298870000.0,215970220000.0,192222350000.0,208662840000.0,153004750000.0
2039.0,207850420000.0,214478270000.0,189529150000.0,208382920000.0,154105220000.0
2040.0,209493180000.0,209050140000.0,186456540000.0,205071780000.0,147357070000.0
2041.0,206063750000.0,202301300000.0,180926300000.0,203684540000.0,141786740000.0
2042.0,204353420000.0,198563790000.0,176442260000.0,203950980000.0,137271170000.0
2043.0,201873560000.0,197628440000.0,171941410000.0,205270190000.0,131067370000.0
2044.0,200955170000.0,197969890000.0,169360440000.0,202584210000.0,126998880000.0
2045.0,198762860000.0,195916150000.0,167222580000.0,200245560000.0,123852840000.0
2046.0,197426270000.0,193331500000.0,160797300000.0,197127000000.0,120285870000.0
2047.0,193808520000.0,191336860000.0,153957940000.0,194441790000.0,115038130000.0
2048.0,190823060000.0,184909710000.0,150998430000.0,192223940000.0,110774220000.0
2049.0,191029170000.0,185411490000.0,149371100000.0,192657150000.0,107280600000.0
2050.0,184556600000.0,180668200000.0,147504460000.0,193671770000.0,104665450000.0
2051.0,182650210000.0,178744980000.0,146626900000.0,188971480000.0,97522670000.0
2052.0,180429900000.0,174871630000.0,144492170000.0,185863260000.0,94108570000.0
2053.0,177724380000.0,169550510000.0,143169200000.0,185669270000.0,90010650000.0
2054.0,175193570000.0,167645700000.0,140060020000.0,185197630000.0,87701410000.0
2055.0,172329960000.0,165228400000.0,139412780000.0,184726260000.0,85570010000.0
2056.0,170054120000.0,162277330000.0,136286520000.0,181846360000.0,80742720000.0
2057.0,165351300000.0,156429250000.0,132703700000.0,180389170000.0,77645480000.0
2058.0,162893270000.0,152700940000.0,129824810000.0,180928100000.0,73575690000.0
2059.0,159732200000.0,148503020000.0,127357370000.0,179090490000.0,71416450000.0
2060.0,159753100000.0,146506170000.0,125210894000.0,173666030000.0,68359590000.0
2061.0,157554850000.0,145251100000.0,122504995000.0,171514090000.0,65358920000.0
2062.0,155913270000.0,142858160000.0,119115870000.0,168538700000.0,61982876000.0
2063.0,154980160000.0,139854000000.0,117970060000.0,167187500000.0,59471990000.0
2064.0,154322390000.0,135442555000.0,117427495000.0,164582240000.0,56420938000.0
2065.0,152172790000.0,135890850000.0,116806170000.0,162837070000.0,52861260000.0
2066.0,149011230000.0,132262770000.0,116947900000.0,161062350000.0,50793960000.0
2067.0,146494720000.0,130709760000.0,115289784000.0,160224720000.0,48488930000.0
2068.0,143475970000.0,129907280000.0,112998730000.0,156511900000.0,46322622000.0
2069.0,141850540000.0,128095340000.0,111011190000.0,154666800000.0,44463920000.0
2070.0,139818650000.0,124504920000.0,108167040000.0,152181900000.0,43059730000.0
2071.0,138168220000.0,120218034000.0,108611280000.0,150781770000.0,41361740000.0
2072.0,138716580000.0,116442230000.0,106423750000.0,148814740000.0,38799016000.0
2073.0,136900240000.0,113000720000.0,105857630000.0,148788890000.0,37783724000.0
2074.0,132956630000.0,110806360000.0,105075640000.0,147625820000.0,35831644000.0
2075.0,131970530000.0,110137260000.0,103217640000.0,147266390000.0,33879777000.0
2076.0,130861720000.0,107502354000.0,102587280000.0,145239600000.0,31579195000.0
2077.0,128648700000.0,104767760000.0,101258970000.0,142688620000.0,29793726000.0
2078.0,129911440000.0,103868140000.0,101320920000.0,141140120000.0,28091890000.0
2079.0,128156115000.0,102930720000.0,99753800000.0,137506520000.0,26209026000.0
2080.0,127372600000.0,102819140000.0,99504760000.0,134461910000.0,24163248000.0
2081.0,127958640000.0,102647054000.0,98025660000.0,132743270000.0,22528471000.0
2082.0,124696320000.0,99757090000.0,96998300000.0,133414760000.0,20373215000.0
2083.0,122015170000.0,98395685000.0,96134310000.0,131807300000.0,19279254000.0
2084.0,120028455000.0,96743645000.0,97724260000.0,130091660000.0,17986826000.0
2085.0,119152710000.0,95905160000.0,97871110000.0,128409230000.0,17248137000.0
2086.0,118244320000.0,93712340000.0,96978920000.0,126679540000.0,16047447000.0
2087.0,116157620000.0,91403900000.0,96875780000.0,125030875000.0,14902070000.0
2088.0,115772375000.0,89748880000.0,95035610000.0,122802590000.0,14062969000.0
2089.0,117045160000.0,88153645000.0,93923230000.0,123548990000.0,13129299000.0
2090.0,115582850000.0,86517645000.0,91863440000.0,121861540000.0,12042117000.0
2091.0,113024120000.0,84180980000.0,91236730000.0,121879910000.0,11458146000.0
2092.0,112080470000.0,81868340000.0,91083940000.0,120103950000.0,10574565000.0
2093.0,112310910000.0,80192635000.0,90433570000.0,117979080000.0,9801962000.0
2094.0,112023600000.0,77917330000.0,88468330000.0,117872270000.0,9138268000.0
2095.0,109413470000.0,77326210000.0,86805900000.0,116515370000.0,8536644600.0
