time,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0
2000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0,296325480000.0
2001.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0,297334670000.0
2002.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0,295847700000.0
2003.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0,290780480000.0
2004.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0,288279040000.0
2005.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0,286634870000.0
2006.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0,286520500000.0
2007.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0,282644020000.0
2008.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0,283340000000.0
2009.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0,282399440000.0
2010.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0,278436120000.0
2011.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0,276206520000.0
2012.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0,275524400000.0
2013.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0,275985630000.0
2014.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0,273251070000.0
2015.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0,269490860000.0
2016.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0,271076160000.0
2017.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0,267859100000.0
2018.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0,267521130000.0
2019.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0,262657200000.0
2020.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0,260582060000.0
2021.0,256700700000.0,251739540000.0,254206790000.0,259254300000.0,259814600000.0
2022.0,255189530000.0,248614240000.0,251640170000.0,260143820000.0,259188490000.0
2023.0,253871420000.0,245278030000.0,249738990000.0,257318030000.0,257474500000.0
2024.0,252598940000.0,237304070000.0,248166380000.0,255792410000.0,249819220000.0
2025.0,251486540000.0,233449290000.0,246141470000.0,252271640000.0,245291040000.0
2026.0,248888850000.0,227892920000.0,244546160000.0,250716060000.0,237628720000.0
2027.0,245764980000.0,222732450000.0,240186850000.0,245192080000.0,231357480000.0
2028.0,242284700000.0,211407260000.0,234885990000.0,239573940000.0,228923330000.0
2029.0,241215320000.0,204150160000.0,235867910000.0,235665460000.0,226380760000.0
2030.0,240579200000.0,197526620000.0,234772480000.0,233446280000.0,219552660000.0
2031.0,236186420000.0,193108790000.0,229655280000.0,230687700000.0,217189190000.0
2032.0,233369350000.0,186632900000.0,227422290000.0,224466500000.0,212845350000.0
2033.0,231276400000.0,180491450000.0,221227530000.0,222657120000.0,208407610000.0
2034.0,229840360000.0,177076810000.0,216958760000.0,222065890000.0,203460440000.0
2035.0,223289790000.0,172182900000.0,213555310000.0,217104560000.0,197142460000.0
2036.0,218660750000.0,165173950000.0,212161760000.0,215968120000.0,194855680000.0
2037.0,216439910000.0,161186560000.0,209574800000.0,213752800000.0,194868660000.0
2038.0,211623690000.0,155703720000.0,207590770000.0,212618380000.0,188444160000.0
2039.0,208689460000.0,148479500000.0,202638110000.0,206687600000.0,186088830000.0
2040.0,203327820000.0,145009050000.0,199247630000.0,200912340000.0,183044470000.0
2041.0,199177300000.0,136532070000.0,192391000000.0,197397660000.0,179094200000.0
2042.0,196440780000.0,133367160000.0,191083480000.0,193054520000.0,173655540000.0
2043.0,191644040000.0,128456490000.0,185915210000.0,188721270000.0,170666070000.0
2044.0,186981150000.0,124968810000.0,181064190000.0,184685990000.0,163760700000.0
2045.0,183878780000.0,118225535000.0,179760710000.0,180983640000.0,157465940000.0
2046.0,180612270000.0,112393670000.0,177582980000.0,173953070000.0,152820860000.0
2047.0,177457950000.0,107440280000.0,174808060000.0,167084440000.0,148039630000.0
2048.0,174880850000.0,100575210000.0,173911260000.0,162221800000.0,142456730000.0
2049.0,172907200000.0,96270690000.0,170805870000.0,157193880000.0,137440230000.0
2050.0,170193670000.0,92817860000.0,166427070000.0,152779500000.0,133299044000.0
2051.0,169256060000.0,88988670000.0,164200680000.0,146732300000.0,128800250000.0
2052.0,165498450000.0,84055430000.0,159510130000.0,141984040000.0,123379920000.0
2053.0,159741300000.0,79123320000.0,154547770000.0,137390400000.0,119593040000.0
2054.0,156726210000.0,74124124000.0,152163480000.0,133155800000.0,114962285000.0
2055.0,152146590000.0,70442844000.0,148315440000.0,128359014000.0,111113200000.0
2056.0,150130020000.0,64989544000.0,146148050000.0,123373090000.0,107150115000.0
2057.0,147796660000.0,61487825000.0,142853360000.0,119027930000.0,105188240000.0
2058.0,146489980000.0,56154407000.0,139764420000.0,114009910000.0,100562270000.0
2059.0,146130550000.0,52206834000.0,136463370000.0,109747905000.0,99102370000.0
2060.0,142074700000.0,49597650000.0,131681894000.0,105859785000.0,94527090000.0
2061.0,138832120000.0,46028136000.0,129345830000.0,100995660000.0,91240820000.0
2062.0,136545530000.0,42578930000.0,128238050000.0,97450950000.0,89809986000.0
2063.0,134019170000.0,40139880000.0,128552100000.0,92119540000.0,88173990000.0
2064.0,132219790000.0,36031717000.0,125598430000.0,86767000000.0,85422105000.0
2065.0,127290430000.0,33616640000.0,123792480000.0,83109780000.0,82271060000.0
2066.0,125086500000.0,30169856000.0,120560755000.0,79655076000.0,80075820000.0
2067.0,121570200000.0,27277173000.0,118253280000.0,76493040000.0,78374940000.0
2068.0,117761190000.0,24373903000.0,115962085000.0,73289630000.0,79828880000.0
2069.0,114013720000.0,22104381000.0,114410545000.0,70123950000.0,76698440000.0
2070.0,110589620000.0,19850560000.0,111653120000.0,67212390000.0,73882470000.0
2071.0,107268686000.0,17270243000.0,109509380000.0,64541475000.0,71950730000.0
2072.0,103121084000.0,15117692000.0,105250400000.0,60831510000.0,68932850000.0
2073.0,99429130000.0,13663978000.0,102273420000.0,57369784000.0,66028925000.0
2074.0,95121880000.0,11683281000.0,98354040000.0,55144920000.0,64007057000.0
2075.0,91810110000.0,10500022000.0,96291635000.0,51322340000.0,61748384000.0
2076.0,88637280000.0,9301874000.0,94196500000.0,47250862000.0,59506330000.0
2077.0,84949940000.0,8050323000.0,92910980000.0,44507046000.0,57778323000.0
2078.0,80707050000.0,7249516000.0,90858270000.0,41986690000.0,56472953000.0
2079.0,78332210000.0,6151376400.0,88290670000.0,37949145000.0,55007363000.0
2080.0,75498960000.0,5236487000.0,86709060000.0,35295970000.0,53611307000.0
2081.0,72523030000.0,4327065600.0,84416200000.0,32462920000.0,52347120000.0
2082.0,69659390000.0,3589729300.0,81709660000.0,29707807000.0,52908974000.0
2083.0,65784580000.0,2983507500.0,78338310000.0,27192758000.0,50902893000.0
2084.0,63368446000.0,2473336300.0,76162466000.0,25928760000.0,50295935000.0
2085.0,61681746000.0,1978656300.0,73916875000.0,24282143000.0,49424340000.0
2086.0,58824016000.0,1509502800.0,70885250000.0,22274900000.0,47942435000.0
2087.0,57261570000.0,1096085600.0,69413855000.0,20680229000.0,46415675000.0
2088.0,54670983000.0,753198800.0,67247645000.0,18551400000.0,44500650000.0
2089.0,50936025000.0,472596640.0,64477712000.0,17052917000.0,41746240000.0
2090.0,49254203000.0,286672000.0,62993355000.0,15361024000.0,39867216000.0
2091.0,47039850000.0,156073260.0,60895740000.0,13861432000.0,38383470000.0
2092.0,45452900000.0,83500904.0,58060677000.0,12288093000.0,37231022000.0
2093.0,42616054000.0,49608140.0,54857142000.0,10821485000.0,36014998000.0
2094.0,40738492000.0,38705868.0,52126175000.0,9712755000.0,35035770000.0
2095.0,39344450000.0,34264228.0,49870713000.0,8592914000.0,33852752000.0
2096.0,37915767000.0,32803578.0,48128440000.0,7100969500.0,34211310000.0
