time,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,101831350000.0,103914120000.0,103833310000.0,105327420000.0,102188950000.0
2022.0,98129035000.0,103938050000.0,102701940000.0,104019560000.0,99526770000.0
2023.0,95587870000.0,102688920000.0,99369800000.0,102840830000.0,96245050000.0
2024.0,91702820000.0,101070310000.0,97248666000.0,101309350000.0,92676200000.0
2025.0,86448546000.0,97975320000.0,94126000000.0,99806510000.0,89646790000.0
2026.0,83820724000.0,94845846000.0,92627740000.0,98501580000.0,87553925000.0
2027.0,80705544000.0,91441350000.0,90174450000.0,97174710000.0,84519160000.0
2028.0,76704270000.0,89780880000.0,89901244000.0,96093905000.0,82932515000.0
2029.0,73416030000.0,88328280000.0,89215370000.0,94763524000.0,79791870000.0
2030.0,70252446000.0,87544750000.0,87897810000.0,92840800000.0,76959200000.0
2031.0,67617360000.0,85154120000.0,85408620000.0,90753910000.0,74837170000.0
2032.0,64896287000.0,83287000000.0,83522930000.0,88838810000.0,72183410000.0
