time,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MRI-ESM2-0
2000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0,133619730000.0
2001.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0,132594630000.0
2002.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0,131593945000.0
2003.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0,130132790000.0
2004.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0,129100870000.0
2005.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0,128198200000.0
2006.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0,126843710000.0
2007.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0,125320580000.0
2008.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0,123589290000.0
2009.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0,121403030000.0
2010.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0,120600480000.0
2011.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0,119110550000.0
2012.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0,117220655000.0
2013.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0,115802440000.0
2014.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0,115042500000.0
2015.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0,113425560000.0
2016.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0,111675105000.0
2017.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0,109329700000.0
2018.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0,107556500000.0
2019.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0,106343950000.0
2020.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0,105394840000.0
2021.0,101937730000.0,102145050000.0,104015045000.0,104764200000.0,102591545000.0
2022.0,100049070000.0,99626000000.0,102092140000.0,103502864000.0,99077610000.0
2023.0,98149710000.0,96152630000.0,100087910000.0,100451050000.0,96013390000.0
2024.0,95786400000.0,94883570000.0,96970780000.0,97638834000.0,94968250000.0
2025.0,93368560000.0,91377700000.0,96056800000.0,96675320000.0,92716170000.0
2026.0,91900320000.0,88259190000.0,94026680000.0,95805150000.0,90394030000.0
2027.0,90373670000.0,83933830000.0,89765390000.0,93957580000.0,86121570000.0
2028.0,88212480000.0,79638740000.0,85836110000.0,91897184000.0,85072680000.0
2029.0,85690600000.0,77034880000.0,84122575000.0,91077304000.0,82549490000.0
2030.0,83777000000.0,74186740000.0,80708690000.0,89063470000.0,79851970000.0
2031.0,80331145000.0,71048860000.0,77828784000.0,86807180000.0,77503580000.0
2032.0,77323130000.0,67544834000.0,75095720000.0,84440170000.0,76188860000.0
