time,MRI-ESM2-0,UKESM1-0-LL,IPSL-CM6A-LR,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0,127709050000.0
2001.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0,127225340000.0
2002.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0,126585160000.0
2003.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0,127504470000.0
2004.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0,122537830000.0
2005.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0,120996120000.0
2006.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0,118352570000.0
2007.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0,115090145000.0
2008.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0,114254160000.0
2009.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0,114334040000.0
2010.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0,111748790000.0
2011.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0,111067720000.0
2012.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0,108143770000.0
2013.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0,106473720000.0
2014.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0,105391300000.0
2015.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0,104747600000.0
2016.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0,101167180000.0
2017.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0,99225625000.0
2018.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0,96328380000.0
2019.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0,92805700000.0
2020.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0,90427870000.0
2021.0,88080810000.0,87132970000.0,89975020000.0,89104310000.0,92243984000.0
2022.0,83914860000.0,86734864000.0,84554590000.0,89762505000.0,91438250000.0
2023.0,82026275000.0,84388700000.0,83789080000.0,87708760000.0,87924834000.0
2024.0,78869496000.0,82011020000.0,79105620000.0,85034620000.0,86277350000.0
2025.0,75630660000.0,77303370000.0,77781040000.0,83576690000.0,81651740000.0
2026.0,71899040000.0,74424370000.0,75905630000.0,82281490000.0,82811550000.0
2027.0,68991460000.0,68531823000.0,73146065000.0,77831450000.0,79729900000.0
2028.0,65248694000.0,67575960000.0,71541590000.0,76561390000.0,79078040000.0
2029.0,62529930000.0,63770760000.0,70336680000.0,73095100000.0,76445100000.0
2030.0,60429947000.0,59176730000.0,67318923000.0,72089390000.0,74449674000.0
2031.0,54526970000.0,54736970000.0,63095845000.0,73104600000.0,72917570000.0
2032.0,51669025000.0,51776266000.0,63952630000.0,70856385000.0,72357920000.0
2033.0,47646900000.0,48069920000.0,60702270000.0,71144235000.0,70853060000.0
2034.0,45969334000.0,45830880000.0,56142352000.0,70896050000.0,68256104000.0
2035.0,43611570000.0,43110580000.0,53821860000.0,68427430000.0,68420880000.0
2036.0,40708560000.0,38462330000.0,50203850000.0,67884850000.0,66104050000.0
2037.0,36508815000.0,36099140000.0,46804020000.0,66110665000.0,66930053000.0
2038.0,33817225000.0,33437040000.0,45079490000.0,64706167000.0,64160330000.0
2039.0,30870241000.0,31749042000.0,41828635000.0,63457460000.0,61334180000.0
2040.0,28706930000.0,28437410000.0,39803660000.0,63389696000.0,61341454000.0
2041.0,27397374000.0,25411189000.0,37388055000.0,61355995000.0,58688594000.0
2042.0,25479483000.0,22670430000.0,34856464000.0,60462846000.0,55462183000.0
2043.0,24090917000.0,19854135000.0,33924706000.0,60206520000.0,54795520000.0
2044.0,23336241000.0,17117275000.0,30131630000.0,58738070000.0,53452485000.0
2045.0,21459337000.0,15029037000.0,27390743000.0,56439940000.0,51427810000.0
2046.0,20494533000.0,13597132000.0,24107395000.0,55002804000.0,50826367000.0
2047.0,18780545000.0,12401398000.0,22064420000.0,52190597000.0,49874530000.0
2048.0,18358620000.0,10844798000.0,20385200000.0,50442138000.0,48561512000.0
2049.0,17649980000.0,10226549000.0,18868097000.0,48343690000.0,46558460000.0
2050.0,16558503000.0,8565489000.0,17748392000.0,47014773000.0,45592600000.0
2051.0,15584604000.0,7403033000.0,16616175000.0,45572575000.0,43975970000.0
2052.0,14758609000.0,6204459000.0,15666650000.0,42957726000.0,42013614000.0
2053.0,14409074000.0,5694792000.0,14125088000.0,42621735000.0,37995150000.0
2054.0,13756449000.0,4407866000.0,12985188000.0,40372322000.0,34865525000.0
2055.0,12923679000.0,3605510100.0,12153118000.0,38268160000.0,32696977000.0
2056.0,12394522000.0,3024866000.0,11327046000.0,36480390000.0,32483398000.0
2057.0,12046393000.0,2745763300.0,9987407000.0,35265933000.0,31060371000.0
2058.0,12159164000.0,2630951200.0,8960329000.0,33109154000.0,29574007000.0
2059.0,11416592000.0,2342888400.0,7817885000.0,31627688000.0,28308738000.0
2060.0,11256516000.0,1926266900.0,7141505000.0,29430397000.0,27865340000.0
2061.0,10963984000.0,1659699200.0,6417603000.0,29156039000.0,26975867000.0
2062.0,10642529000.0,1391840300.0,5772174000.0,28457069000.0,26135980000.0
2063.0,10339439000.0,1248898400.0,5200713700.0,26061705000.0,23989641000.0
2064.0,9925510000.0,1103109400.0,4763265000.0,25175652000.0,22680312000.0
2065.0,9291997000.0,1071115900.0,4435410000.0,23662404000.0,21237142000.0
2066.0,8651537000.0,1007599800.0,3874834400.0,21766957000.0,19552956000.0
2067.0,8306988000.0,907097700.0,3501543400.0,20532564000.0,17940937000.0
2068.0,7735875600.0,822439940.0,3368503600.0,18698846000.0,16946096000.0
