time,MRI-ESM2-0,GFDL-ESM4,UKESM1-0-LL,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0,61370253000.0
2001.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0,60266156000.0
2002.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0,60257972000.0
2003.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0,60362590000.0
2004.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0,60688806000.0
2005.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0,61459644000.0
2006.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0,62255137000.0
2007.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0,61750284000.0
2008.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0,60903133000.0
2009.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0,60406890000.0
2010.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0,61033560000.0
2011.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0,59106517000.0
2012.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0,58344874000.0
2013.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0,56778576000.0
2014.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0,56274514000.0
2015.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0,54758440000.0
2016.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0,53108044000.0
2017.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0,52618396000.0
2018.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0,51351860000.0
2019.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0,49759986000.0
2020.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0,48214462000.0
2021.0,44902134000.0,47802390000.0,47235080000.0,47142654000.0,46656840000.0
2022.0,44128854000.0,45430886000.0,45880664000.0,45764390000.0,46219473000.0
2023.0,42227343000.0,44991152000.0,43740463000.0,47252505000.0,45635600000.0
2024.0,40810066000.0,43088770000.0,42849464000.0,45864270000.0,44561973000.0
2025.0,39038075000.0,42365243000.0,41996685000.0,45110944000.0,43016884000.0
2026.0,38011335000.0,41327972000.0,39637795000.0,44765336000.0,42598945000.0
2027.0,37117990000.0,41272940000.0,37864034000.0,45617574000.0,42024420000.0
2028.0,35883856000.0,40597586000.0,36584080000.0,47457337000.0,41664240000.0
2029.0,34273477000.0,40258850000.0,36388610000.0,47034786000.0,39907890000.0
2030.0,31959600000.0,38796743000.0,34941730000.0,45346824000.0,38397153000.0
2031.0,30966622000.0,37961867000.0,32592878000.0,46748033000.0,38557594000.0
2032.0,29986180000.0,37013086000.0,31100652000.0,46981720000.0,37044904000.0
2033.0,30410326000.0,36549610000.0,29632342000.0,45123744000.0,35824110000.0
2034.0,28905988000.0,35219960000.0,27659067000.0,43238640000.0,35326070000.0
2035.0,27619553000.0,34114830000.0,26365168000.0,41748226000.0,34793914000.0
2036.0,26094418000.0,32208693000.0,25356839000.0,41538355000.0,32938263000.0
2037.0,25499890000.0,30850324000.0,23400421000.0,41577574000.0,31576748000.0
2038.0,25389896000.0,28759167000.0,21686188000.0,42519732000.0,30260337000.0
2039.0,24336441000.0,27795696000.0,20585509000.0,43218584000.0,28943602000.0
2040.0,24098650000.0,26586337000.0,19622398000.0,43388720000.0,28039719000.0
2041.0,23251149000.0,25989165000.0,18246064000.0,42701242000.0,27220010000.0
2042.0,23042150000.0,25524826000.0,16912780000.0,43650064000.0,25791926000.0
2043.0,22322475000.0,25176252000.0,16046203000.0,42692360000.0,23887067000.0
2044.0,21834318000.0,24548366000.0,15126170000.0,43615363000.0,23522615000.0
2045.0,20931891000.0,24439398000.0,14467536000.0,43535307000.0,22708625000.0
2046.0,20161438000.0,23053750000.0,13391727000.0,42461024000.0,21726188000.0
