time,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0,MPI-ESM1-2-HR,IPSL-CM6A-LR
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3038696400000.0,3075714000000.0,3061915300000.0,3059979000000.0,3081722400000.0
2022.0,3000076000000.0,3039997500000.0,3024117600000.0,3027385500000.0,3067037400000.0
2023.0,2956227200000.0,2988067000000.0,2978925800000.0,2998125200000.0,3049905200000.0
2024.0,2893480200000.0,2952890700000.0,2927058200000.0,2957662200000.0,3010255400000.0
2025.0,2831615500000.0,2921356000000.0,2895455700000.0,2950467400000.0,2970355000000.0
2026.0,2776155300000.0,2889225900000.0,2867095400000.0,2912596800000.0,2955270700000.0
2027.0,2720453600000.0,2837880500000.0,2808420500000.0,2883580300000.0,2923997400000.0
2028.0,2669146800000.0,2805369400000.0,2770073800000.0,2850022000000.0,2895738600000.0
2029.0,2631328000000.0,2778577000000.0,2720188600000.0,2820393700000.0,2881274800000.0
2030.0,2577260000000.0,2729113300000.0,2690374000000.0,2787027000000.0,2852952000000.0
2031.0,2536961200000.0,2712591400000.0,2649326000000.0,2749461000000.0,2817630100000.0
2032.0,2496823600000.0,2688093500000.0,2598391500000.0,2721108500000.0,2783624600000.0
2033.0,2426897700000.0,2648067800000.0,2555185500000.0,2698539000000.0,2751645000000.0
2034.0,2387097400000.0,2629203000000.0,2519902000000.0,2679724800000.0,2716698400000.0
2035.0,2326109600000.0,2581024700000.0,2478785400000.0,2661813600000.0,2671736500000.0
2036.0,2283769200000.0,2555215300000.0,2429137500000.0,2669573300000.0,2617521700000.0
2037.0,2243650700000.0,2536254500000.0,2394352800000.0,2642400500000.0,2594310700000.0
2038.0,2195726000000.0,2524001300000.0,2347203000000.0,2616883400000.0,2564038000000.0
2039.0,2135929800000.0,2494343000000.0,2314037600000.0,2578061000000.0,2533746800000.0
2040.0,2093542900000.0,2459621000000.0,2263870600000.0,2564841800000.0,2484771200000.0
2041.0,2038702100000.0,2456867000000.0,2220188800000.0,2546395500000.0,2438197100000.0
2042.0,1982977800000.0,2443372100000.0,2181289100000.0,2525935000000.0,2409236800000.0
2043.0,1951561400000.0,2435148700000.0,2151227200000.0,2500843500000.0,2382380400000.0
2044.0,1913463000000.0,2413500300000.0,2125152000000.0,2459013000000.0,2359392700000.0
2045.0,1880107400000.0,2392596700000.0,2100057200000.0,2417363800000.0,2321271000000.0
2046.0,1825021100000.0,2366577000000.0,2063142000000.0,2385879800000.0,2279482000000.0
2047.0,1781325100000.0,2342378500000.0,2029291000000.0,2394381000000.0,2237158400000.0
2048.0,1739083700000.0,2324609600000.0,1991322500000.0,2356893000000.0,2206787700000.0
2049.0,1687235600000.0,2312891000000.0,1955703400000.0,2320913000000.0,2162352500000.0
2050.0,1647982500000.0,2305356000000.0,1918360900000.0,2307295000000.0,2111007100000.0
2051.0,1603107600000.0,2260752700000.0,1884792600000.0,2284671000000.0,2060567600000.0
2052.0,1586331500000.0,2246639000000.0,1847815200000.0,2255620000000.0,2043138700000.0
2053.0,1543080000000.0,2225615000000.0,1821238500000.0,2255161700000.0,2020020800000.0
2054.0,1495975700000.0,2179572200000.0,1798508000000.0,2251148800000.0,1981432900000.0
2055.0,1454819200000.0,2157013800000.0,1762790900000.0,2211181000000.0,1948392900000.0
2056.0,1422361100000.0,2147135300000.0,1745048300000.0,2201427600000.0,1910855700000.0
2057.0,1394929300000.0,2125682800000.0,1710565800000.0,2173797400000.0,1874837000000.0
2058.0,1357097100000.0,2094558100000.0,1683530700000.0,2146549900000.0,1835873500000.0
2059.0,1331756700000.0,2059877900000.0,1660935700000.0,2087027000000.0,1810790700000.0
2060.0,1309426500000.0,2056985600000.0,1631209300000.0,2076299400000.0,1778959000000.0
2061.0,1268880800000.0,2032466400000.0,1608851300000.0,2057635800000.0,1737600800000.0
2062.0,1227710900000.0,2012611300000.0,1588262200000.0,2042961900000.0,1698817000000.0
2063.0,1192909700000.0,1971230700000.0,1556807500000.0,2011518600000.0,1673765800000.0
2064.0,1175706100000.0,1938271200000.0,1538022200000.0,2014981700000.0,1635109700000.0
2065.0,1148555000000.0,1906020600000.0,1516706500000.0,1990132400000.0,1604795600000.0
2066.0,1124112400000.0,1890323800000.0,1489005600000.0,1980089100000.0,1583543900000.0
2067.0,1114254300000.0,1868947400000.0,1475691300000.0,1968876000000.0,1545236400000.0
2068.0,1087329340000.0,1860564800000.0,1469607600000.0,1941139400000.0,1516362500000.0
2069.0,1065495170000.0,1844220000000.0,1460751200000.0,1926021000000.0,1488426600000.0
2070.0,1050395540000.0,1831756400000.0,1449537000000.0,1917499700000.0,1463092900000.0
2071.0,1033022300000.0,1817906000000.0,1429500900000.0,1897677800000.0,1439867500000.0
2072.0,1006480060000.0,1794187100000.0,1423523000000.0,1888571200000.0,1411016700000.0
2073.0,983332750000.0,1759282000000.0,1410536700000.0,1880064500000.0,1383942500000.0
2074.0,958915600000.0,1741734700000.0,1399843600000.0,1861071900000.0,1353564400000.0
2075.0,937773760000.0,1725374500000.0,1379481000000.0,1866864800000.0,1328463600000.0
2076.0,908177830000.0,1704372100000.0,1358678000000.0,1847673200000.0,1312557400000.0
2077.0,888750540000.0,1693319400000.0,1352517200000.0,1834114400000.0,1292106700000.0
2078.0,870010900000.0,1685890400000.0,1331822100000.0,1814383800000.0,1272618300000.0
2079.0,859029240000.0,1679351300000.0,1326202500000.0,1795926900000.0,1253616300000.0
2080.0,835543760000.0,1675606100000.0,1308699400000.0,1787255800000.0,1230500400000.0
2081.0,817656600000.0,1679094200000.0,1308896300000.0,1763927500000.0,1216462800000.0
2082.0,804011970000.0,1671283500000.0,1299873500000.0,1757994000000.0,1194297100000.0
2083.0,791846000000.0,1670186900000.0,1286526900000.0,1728984600000.0,1179187300000.0
2084.0,777700640000.0,1659385300000.0,1283218200000.0,1711519000000.0,1165968500000.0
2085.0,765079400000.0,1643592300000.0,1283813100000.0,1705838900000.0,1146209600000.0
2086.0,756342700000.0,1635224500000.0,1279232700000.0,1711405900000.0,1128944800000.0
2087.0,749293140000.0,1626909600000.0,1276432700000.0,1702100200000.0,1114118600000.0
2088.0,736378700000.0,1624048500000.0,1256523300000.0,1694677900000.0,1107351800000.0
2089.0,720155300000.0,1617124100000.0,1248864900000.0,1681491000000.0,1098566900000.0
2090.0,710159800000.0,1615490400000.0,1255990500000.0,1665443600000.0,1089254650000.0
2091.0,697593200000.0,1613088800000.0,1246081300000.0,1664306500000.0,1085217200000.0
2092.0,684885600000.0,1594916300000.0,1250870700000.0,1656769100000.0,1068198660000.0
