time,UKESM1-0-LL,MPI-ESM1-2-HR,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR
2000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0,3304243600000.0
2001.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0,3298406000000.0
2002.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0,3286188200000.0
2003.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0,3281301300000.0
2004.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0,3292180300000.0
2005.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0,3295315000000.0
2006.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0,3288615400000.0
2007.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0,3267074700000.0
2008.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0,3246946500000.0
2009.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0,3223646000000.0
2010.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0,3209073000000.0
2011.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0,3206808600000.0
2012.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0,3186851600000.0
2013.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0,3162704200000.0
2014.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0,3150483300000.0
2015.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0,3140227200000.0
2016.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0,3128400500000.0
2017.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0,3119231300000.0
2018.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0,3112506000000.0
2019.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0,3099222600000.0
2020.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0,3086835000000.0
2021.0,3065148900000.0,3047918700000.0,3043033600000.0,3075694400000.0,3065643800000.0
2022.0,3020042000000.0,3011741500000.0,3023020000000.0,3078329500000.0,3025346800000.0
2023.0,2966324200000.0,2966333700000.0,2988165600000.0,3053698200000.0,2992391000000.0
2024.0,2931462000000.0,2927438900000.0,2947685000000.0,2991403600000.0,2975837000000.0
2025.0,2878027900000.0,2865466700000.0,2916998700000.0,2969649800000.0,2951721500000.0
2026.0,2812026300000.0,2847287800000.0,2875674000000.0,2935002500000.0,2933866000000.0
2027.0,2764772200000.0,2815987500000.0,2849378000000.0,2918128300000.0,2875223000000.0
2028.0,2718438000000.0,2790686700000.0,2816825000000.0,2877540500000.0,2828222300000.0
2029.0,2664838700000.0,2761439800000.0,2765667400000.0,2855397500000.0,2772922800000.0
2030.0,2604361300000.0,2716318000000.0,2727950700000.0,2831947700000.0,2733529000000.0
2031.0,2544584600000.0,2691151200000.0,2684931500000.0,2796017400000.0,2698211500000.0
2032.0,2468047200000.0,2679378300000.0,2658696700000.0,2751268700000.0,2656952400000.0
2033.0,2401352800000.0,2643549000000.0,2638550000000.0,2738396600000.0,2594618000000.0
2034.0,2339677000000.0,2634671000000.0,2595573200000.0,2709421000000.0,2555618300000.0
2035.0,2293447800000.0,2608617000000.0,2555114000000.0,2669472600000.0,2524199800000.0
2036.0,2233283600000.0,2582623300000.0,2512147200000.0,2657546000000.0,2486802300000.0
2037.0,2177817900000.0,2538361000000.0,2465179000000.0,2632913500000.0,2439166800000.0
2038.0,2122354400000.0,2496524500000.0,2424007600000.0,2595645000000.0,2408105000000.0
2039.0,2064421700000.0,2474320900000.0,2371725300000.0,2557334800000.0,2355454500000.0
2040.0,2001999600000.0,2475808300000.0,2329349700000.0,2532087700000.0,2318083300000.0
2041.0,1929068700000.0,2450624300000.0,2290285500000.0,2506728400000.0,2261589200000.0
2042.0,1868516000000.0,2392454900000.0,2241797600000.0,2476628500000.0,2218051500000.0
2043.0,1798190700000.0,2353134000000.0,2199318700000.0,2448933500000.0,2175454800000.0
2044.0,1736186300000.0,2337089000000.0,2163344500000.0,2425720000000.0,2125637400000.0
2045.0,1677550400000.0,2295853200000.0,2119133700000.0,2395275000000.0,2073431800000.0
2046.0,1622136800000.0,2251755400000.0,2069149500000.0,2361462000000.0,2035896200000.0
2047.0,1573908900000.0,2214869300000.0,2044622400000.0,2323879300000.0,1985071400000.0
2048.0,1519137700000.0,2203835000000.0,2003271300000.0,2294048400000.0,1922185800000.0
2049.0,1477695500000.0,2137489100000.0,1958381500000.0,2256318000000.0,1885020200000.0
2050.0,1432002100000.0,2095036200000.0,1927473100000.0,2197229700000.0,1833787200000.0
2051.0,1395435600000.0,2082884700000.0,1878212500000.0,2149517600000.0,1787210000000.0
2052.0,1348653700000.0,2042315100000.0,1832938800000.0,2118687700000.0,1744758400000.0
2053.0,1319615000000.0,2008308600000.0,1798088000000.0,2071660100000.0,1710153500000.0
2054.0,1275854300000.0,1965833200000.0,1762028300000.0,2057415400000.0,1677267400000.0
2055.0,1226072800000.0,1915507400000.0,1729684400000.0,2007144000000.0,1629612800000.0
2056.0,1178600000000.0,1882936200000.0,1685816900000.0,1969809800000.0,1595599600000.0
2057.0,1136172200000.0,1846323200000.0,1640998000000.0,1950242600000.0,1551597600000.0
2058.0,1094275760000.0,1818747100000.0,1604210700000.0,1916165000000.0,1517114500000.0
2059.0,1059953300000.0,1776840000000.0,1563720700000.0,1870010300000.0,1477041600000.0
2060.0,1017090800000.0,1722889400000.0,1532258200000.0,1832129900000.0,1428567200000.0
2061.0,974882140000.0,1688572700000.0,1490082100000.0,1776859200000.0,1389314600000.0
2062.0,933669630000.0,1643939800000.0,1465447100000.0,1742781000000.0,1361951500000.0
2063.0,904577800000.0,1624262400000.0,1440297100000.0,1706629500000.0,1325653700000.0
2064.0,868934000000.0,1609642000000.0,1404849900000.0,1663705300000.0,1278116400000.0
2065.0,844501750000.0,1563235600000.0,1379265200000.0,1634980000000.0,1231656200000.0
2066.0,814126860000.0,1524129200000.0,1341021500000.0,1600946700000.0,1180448600000.0
2067.0,781418360000.0,1495732000000.0,1306816300000.0,1562469200000.0,1143140400000.0
2068.0,758033700000.0,1473700800000.0,1286295400000.0,1519785000000.0,1110278100000.0
2069.0,718250900000.0,1443842900000.0,1261313700000.0,1490799600000.0,1079632270000.0
2070.0,692245700000.0,1399905800000.0,1225767400000.0,1468967200000.0,1044651640000.0
2071.0,661270800000.0,1363696800000.0,1178544000000.0,1433222900000.0,1015825800000.0
2072.0,627370360000.0,1330031800000.0,1156678700000.0,1396378300000.0,982061740000.0
2073.0,601511300000.0,1311037600000.0,1126692000000.0,1366827200000.0,940333100000.0
2074.0,571333600000.0,1278771700000.0,1100758400000.0,1337302700000.0,906925700000.0
2075.0,543915540000.0,1261902900000.0,1082583350000.0,1311485300000.0,876463260000.0
2076.0,515316350000.0,1226885600000.0,1047007600000.0,1284519600000.0,848333200000.0
2077.0,487008240000.0,1193140000000.0,1016222100000.0,1238834200000.0,812737230000.0
2078.0,459876530000.0,1149448700000.0,990128500000.0,1210532800000.0,781576240000.0
2079.0,434540580000.0,1112979900000.0,967097840000.0,1187134300000.0,756188250000.0
2080.0,411804860000.0,1083460940000.0,944514100000.0,1161701900000.0,729847800000.0
2081.0,393132280000.0,1049308200000.0,919982100000.0,1142037400000.0,701643300000.0
2082.0,370520360000.0,1016427250000.0,902940070000.0,1124632200000.0,670354050000.0
2083.0,347522800000.0,995258500000.0,880959750000.0,1103830500000.0,644519500000.0
2084.0,324256140000.0,977393200000.0,855835700000.0,1069705700000.0,616658570000.0
2085.0,305185600000.0,949123600000.0,822388000000.0,1048651000000.0,590102000000.0
2086.0,282384530000.0,925702700000.0,806368200000.0,1029967600000.0,570475000000.0
2087.0,258433830000.0,902479000000.0,783133050000.0,1013206100000.0,545502130000.0
2088.0,235965090000.0,863771100000.0,763917240000.0,995391440000.0,523275600000.0
2089.0,219402600000.0,845298000000.0,739674400000.0,981785700000.0,498978130000.0
2090.0,206011450000.0,828032800000.0,721738400000.0,959515600000.0,478812050000.0
2091.0,194698120000.0,797885200000.0,704399400000.0,943566100000.0,455825700000.0
2092.0,174389760000.0,771320450000.0,687372300000.0,927483760000.0,425868130000.0
2093.0,159776400000.0,750615300000.0,668525800000.0,895595800000.0,405512060000.0
2094.0,145764220000.0,725357560000.0,650257200000.0,873364850000.0,384101700000.0
