time,MPI-ESM1-2-HR,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0,888781200000.0
2001.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0,888295400000.0
2002.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0,885718600000.0
2003.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0,883533900000.0
2004.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0,879303300000.0
2005.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0,875491030000.0
2006.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0,865732460000.0
2007.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0,853378000000.0
2008.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0,843030270000.0
2009.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0,840793000000.0
2010.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0,822662300000.0
2011.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0,810176350000.0
2012.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0,804650300000.0
2013.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0,791628550000.0
2014.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0,787362000000.0
2015.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0,775666340000.0
2016.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0,770273000000.0
2017.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0,760538100000.0
2018.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0,752490100000.0
2019.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0,740732960000.0
2020.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0,733207400000.0
2021.0,726991630000.0,725391700000.0,717086650000.0,716095700000.0,715521500000.0
2022.0,721121840000.0,705182800000.0,706606700000.0,698525550000.0,711854700000.0
2023.0,713678260000.0,687749600000.0,690838100000.0,689664900000.0,703731000000.0
2024.0,695850300000.0,673500100000.0,679154350000.0,676442100000.0,679098000000.0
2025.0,686673500000.0,653737300000.0,666851400000.0,673365100000.0,664963400000.0
2026.0,665147200000.0,642667250000.0,654969860000.0,655261240000.0,639420330000.0
2027.0,653068500000.0,624664500000.0,630278260000.0,638744130000.0,615782600000.0
2028.0,637577900000.0,613576900000.0,606448600000.0,620769100000.0,589999400000.0
2029.0,612296000000.0,599659600000.0,590857040000.0,604651400000.0,575269630000.0
2030.0,594843530000.0,596690800000.0,582258000000.0,575880230000.0,555396700000.0
2031.0,589417000000.0,594717000000.0,568375200000.0,556155000000.0,541360900000.0
2032.0,580420900000.0,584575200000.0,555824250000.0,534681520000.0,531436370000.0
2033.0,576421200000.0,574801100000.0,538211420000.0,512730660000.0,512643560000.0
2034.0,566710240000.0,563310100000.0,527657400000.0,510841720000.0,498805340000.0
2035.0,556818000000.0,546200060000.0,513174730000.0,500214400000.0,475854900000.0
2036.0,553891200000.0,527820030000.0,496451800000.0,478986730000.0,460461700000.0
2037.0,543108000000.0,522620700000.0,479405340000.0,465478600000.0,440314860000.0
2038.0,537637200000.0,512897320000.0,464512350000.0,448175960000.0,420290600000.0
2039.0,525505170000.0,507540140000.0,451663130000.0,429996440000.0,404285750000.0
2040.0,514966000000.0,501667330000.0,428536230000.0,421041240000.0,387495100000.0
