time,MRI-ESM2-0,GFDL-ESM4,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,70558040000.0,68354530000.0,70989280000.0,69169830000.0,72020660000.0
2022.0,69493010000.0,61547815000.0,66598203000.0,63313520000.0,71826120000.0
2023.0,69941944000.0,59421060000.0,64302030000.0,56720040000.0,68507664000.0
2024.0,68395647000.0,58509124000.0,60872024000.0,52749087000.0,65466008000.0
2025.0,63020462000.0,57918760000.0,56341020000.0,47739670000.0,60108110000.0
2026.0,59403194000.0,55324574000.0,52725810000.0,44158284000.0,56857076000.0
2027.0,54979985000.0,52577600000.0,51349344000.0,41938280000.0,58688740000.0
2028.0,54480708000.0,52371333000.0,50444940000.0,36805513000.0,57890620000.0
2029.0,50548950000.0,51878216000.0,48101143000.0,32496250000.0,55924957000.0
2030.0,46495175000.0,48912695000.0,46086423000.0,32388080000.0,51184530000.0
2031.0,44968227000.0,46479307000.0,43634800000.0,31218921000.0,51012820000.0
2032.0,42815906000.0,44645070000.0,41297695000.0,29495390000.0,51449496000.0
2033.0,41080738000.0,44635615000.0,39439650000.0,28296620000.0,50431816000.0
2034.0,39463035000.0,42132690000.0,35522486000.0,27757095000.0,48477966000.0
2035.0,36094108000.0,39663276000.0,33882325000.0,25046127000.0,46886190000.0
2036.0,36574175000.0,39703724000.0,32579030000.0,23733567000.0,46022676000.0
2037.0,35540824000.0,37707540000.0,31929080000.0,21751495000.0,47099320000.0
2038.0,34397430000.0,35721510000.0,29835348000.0,19808408000.0,47308590000.0
2039.0,34017143000.0,35456246000.0,27259484000.0,19276420000.0,46627463000.0
2040.0,32571564000.0,35242000000.0,26461653000.0,18478040000.0,45407270000.0
2041.0,30638459000.0,35605530000.0,26555496000.0,17980568000.0,42849235000.0
2042.0,30835263000.0,34434572000.0,26137391000.0,17892028000.0,40679064000.0
2043.0,30319500000.0,32674226000.0,25724424000.0,17205354000.0,41229115000.0
2044.0,29597147000.0,30946658000.0,26139780000.0,16386358000.0,41172820000.0
2045.0,28319044000.0,31164027000.0,25417392000.0,16045664000.0,41013252000.0
2046.0,27276220000.0,30779503000.0,24938460000.0,14718387000.0,38905800000.0
2047.0,27690060000.0,29772368000.0,25348480000.0,13685510000.0,36656804000.0
2048.0,27818047000.0,29677982000.0,24634943000.0,13254144000.0,36577240000.0
2049.0,26712127000.0,29784562000.0,23949095000.0,13623262000.0,36772467000.0
2050.0,26874340000.0,28907618000.0,23442184000.0,13770040000.0,36457095000.0
2051.0,26371010000.0,28810865000.0,22890932000.0,13492543000.0,35102368000.0
2052.0,25309424000.0,28160563000.0,21232880000.0,12959446000.0,34954023000.0
2053.0,25219570000.0,27757928000.0,21512464000.0,12423894000.0,34820710000.0
2054.0,24758446000.0,28580178000.0,21455868000.0,11849818000.0,32422703000.0
2055.0,25130484000.0,28520608000.0,21932792000.0,11873833000.0,31090053000.0
2056.0,24746754000.0,27700939000.0,21972732000.0,11511587000.0,30645152000.0
2057.0,23473017000.0,27006960000.0,21062533000.0,10951807000.0,30463191000.0
2058.0,24195471000.0,26552582000.0,20737780000.0,11146789000.0,31194546000.0
2059.0,24114905000.0,27404235000.0,19833397000.0,10918318000.0,32017620000.0
2060.0,24563395000.0,27928620000.0,19001094000.0,9953866000.0,31436036000.0
2061.0,24775496000.0,27166319000.0,19847221000.0,10147193000.0,29550055000.0
2062.0,24644407000.0,25922785000.0,20163650000.0,10674957000.0,30556072000.0
2063.0,25230530000.0,25684314000.0,19767670000.0,10776013000.0,32029452000.0
2064.0,25632106000.0,26085194000.0,19336055000.0,10188772000.0,32023233000.0
2065.0,24589566000.0,26539790000.0,19027042000.0,10220460000.0,32059654000.0
2066.0,23384918000.0,26496854000.0,18761155000.0,10823919000.0,31917349000.0
2067.0,22830037000.0,25686030000.0,18652709000.0,10731895000.0,31171955000.0
2068.0,22073092000.0,25036001000.0,18923528000.0,9997832000.0,29720144000.0
2069.0,20838510000.0,24870457000.0,19177050000.0,9781752000.0,28737505000.0
2070.0,20141718000.0,24289587000.0,19326160000.0,9531340000.0,29164007000.0
2071.0,20525190000.0,23913392000.0,18589514000.0,8661823000.0,28861155000.0
2072.0,21119437000.0,24642636000.0,18252220000.0,8806742000.0,28562299000.0
2073.0,21486426000.0,25187045000.0,18845934000.0,9385768000.0,28160360000.0
