time,GFDL-ESM4,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,MPI-ESM1-2-HR
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,70881600000.0,71021630000.0,70144750000.0,67878183000.0,73193550000.0
2022.0,67094100000.0,69511090000.0,65978920000.0,64714930000.0,73581680000.0
2023.0,63175696000.0,64056635000.0,65124230000.0,63442756000.0,73668215000.0
2024.0,62755287000.0,60338614000.0,63514810000.0,60917530000.0,69645350000.0
2025.0,60962857000.0,57816777000.0,62055850000.0,55391770000.0,69430160000.0
2026.0,55851897000.0,55203123000.0,56750273000.0,46747795000.0,66088760000.0
2027.0,53679223000.0,51094745000.0,54049087000.0,41442623000.0,61824737000.0
2028.0,51905237000.0,46567380000.0,51794665000.0,37129870000.0,55802660000.0
2029.0,49962050000.0,43718000000.0,46790525000.0,32869747000.0,53028180000.0
2030.0,46654456000.0,42011214000.0,41249534000.0,31991517000.0,52822220000.0
2031.0,44932223000.0,41413583000.0,39128707000.0,30055248000.0,50681670000.0
2032.0,43776020000.0,39654773000.0,38492123000.0,25010991000.0,49087894000.0
2033.0,40957300000.0,39254850000.0,37452075000.0,22032130000.0,47339196000.0
2034.0,38276800000.0,39578305000.0,35998736000.0,21498053000.0,43433628000.0
2035.0,36435165000.0,38066470000.0,34795508000.0,19287940000.0,41212867000.0
2036.0,35077775000.0,36467020000.0,31910234000.0,18056387000.0,39223810000.0
2037.0,32577872000.0,35544070000.0,30480910000.0,17255832000.0,37725446000.0
2038.0,30101447000.0,34308456000.0,29841826000.0,16497139000.0,37338374000.0
2039.0,30001543000.0,33601237000.0,27070680000.0,14762377000.0,36109090000.0
2040.0,29552180000.0,32766962000.0,24670235000.0,14143352000.0,34773467000.0
2041.0,29203796000.0,31265330000.0,23214496000.0,13166230000.0,32929730000.0
2042.0,27267720000.0,28228352000.0,22056147000.0,13029943000.0,32864178000.0
2043.0,25087226000.0,27511260000.0,20890317000.0,12863406000.0,33019863000.0
2044.0,24966058000.0,27061647000.0,20467876000.0,12219116000.0,31332155000.0
2045.0,24250104000.0,26294413000.0,19933227000.0,11783349000.0,29635280000.0
2046.0,22456586000.0,25651952000.0,19551754000.0,10872383000.0,30057245000.0
2047.0,21267370000.0,24395192000.0,18282043000.0,9419889000.0,30167871000.0
2048.0,20464355000.0,22633763000.0,17237682000.0,8736627000.0,28947868000.0
2049.0,19021095000.0,21475408000.0,16789098000.0,8222769700.0,29348274000.0
2050.0,18296429000.0,20655620000.0,15652668000.0,7409676300.0,29946886000.0
2051.0,18248722000.0,20325007000.0,14862019000.0,6985932300.0,28380103000.0
2052.0,17235907000.0,19156185000.0,13540000000.0,6996523500.0,25833329000.0
2053.0,17204357000.0,18366271000.0,11956961000.0,6782664700.0,23360555000.0
2054.0,16517665000.0,17739995000.0,11291773000.0,6120832500.0,21414390000.0
2055.0,16027381000.0,16472803000.0,11397642000.0,6197018600.0,20287594000.0
2056.0,16861868000.0,16584347000.0,10778593000.0,6118919700.0,19676811000.0
2057.0,16469796000.0,16066259000.0,10156756000.0,6297959400.0,18701152000.0
2058.0,15259116000.0,15167491000.0,10193657000.0,5879862300.0,17675655000.0
2059.0,14463862000.0,14215444000.0,9703238000.0,5146891000.0,16202441000.0
2060.0,14174497000.0,14018133000.0,9744720000.0,4865186000.0,15735650000.0
2061.0,13187169000.0,13908297000.0,10035197000.0,4751151600.0,16056155000.0
2062.0,12476035000.0,12736276000.0,10036524000.0,4386503700.0,15756596000.0
2063.0,11464238000.0,11887319000.0,9581346000.0,4089032000.0,15206717000.0
2064.0,11218886000.0,11623932000.0,8782595000.0,3783633000.0,13935324000.0
2065.0,10143313000.0,10784251000.0,8763602000.0,3449576700.0,13884355000.0
2066.0,9135485000.0,10857342000.0,8486990000.0,3251713000.0,14520058000.0
2067.0,9443525000.0,10623524000.0,7697600000.0,3270000400.0,14249750000.0
2068.0,9725933000.0,9713789000.0,7349218000.0,3212197400.0,12866294000.0
2069.0,9508584000.0,9597898000.0,6908918300.0,3181654000.0,11465566000.0
2070.0,8720197000.0,8934982000.0,6582879000.0,2981905000.0,10566090000.0
2071.0,9141646000.0,8248489500.0,6524302300.0,2780119800.0,10892925000.0
2072.0,9539769000.0,7750242300.0,6044558300.0,2754510600.0,10718068000.0
2073.0,9144735000.0,7326765600.0,5419451000.0,2432656000.0,10083875000.0
