time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,UKESM1-0-LL,IPSL-CM6A-LR
2000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0,93039410000.0
2001.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0,93092225000.0
2002.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0,94573404000.0
2003.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0,93630180000.0
2004.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0,92291875000.0
2005.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0,89926150000.0
2006.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0,88994595000.0
2007.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0,88025965000.0
2008.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0,88432010000.0
2009.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0,89439900000.0
2010.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0,87674430000.0
2011.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0,85156730000.0
2012.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0,86027540000.0
2013.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0,85461090000.0
2014.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0,85718560000.0
2015.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0,85020640000.0
2016.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0,81150520000.0
2017.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0,76327020000.0
2018.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0,74652200000.0
2019.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0,74993800000.0
2020.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0,73344020000.0
2021.0,72325930000.0,71240160000.0,70128850000.0,67773743000.0,71552760000.0
2022.0,68535833000.0,67443090000.0,68591690000.0,62737110000.0,65425162000.0
2023.0,66926030000.0,63230410000.0,66293640000.0,55579992000.0,62223650000.0
2024.0,65406220000.0,61972886000.0,65561944000.0,51865625000.0,59661540000.0
2025.0,62169084000.0,59991080000.0,63162397000.0,48532853000.0,58018000000.0
2026.0,58261213000.0,55967965000.0,61961210000.0,45791920000.0,54680793000.0
2027.0,55770894000.0,53068485000.0,59865137000.0,41925325000.0,52972800000.0
2028.0,52489090000.0,51615638000.0,58086020000.0,35607142000.0,50721243000.0
2029.0,48837423000.0,48123830000.0,57740300000.0,32814508000.0,46427177000.0
2030.0,46558683000.0,43390865000.0,54242832000.0,31842417000.0,41732383000.0
2031.0,43704807000.0,43568644000.0,48628510000.0,30063600000.0,37109613000.0
2032.0,41124635000.0,42152837000.0,43342225000.0,27739288000.0,35256324000.0
2033.0,36848130000.0,38335603000.0,41804018000.0,27020270000.0,34666144000.0
2034.0,35391530000.0,36541490000.0,41448215000.0,24341692000.0,34300858000.0
2035.0,34743030000.0,36395880000.0,39460704000.0,22143625000.0,32640807000.0
2036.0,32887857000.0,36890935000.0,37212780000.0,20885110000.0,32263130000.0
2037.0,30695274000.0,35272774000.0,36485448000.0,19894227000.0,31154870000.0
2038.0,28810594000.0,33478560000.0,36362790000.0,18960800000.0,30274124000.0
2039.0,27291781000.0,32635556000.0,34749948000.0,16667066000.0,28227006000.0
2040.0,26136267000.0,31672682000.0,34164922000.0,15515732000.0,26744074000.0
2041.0,24560486000.0,30680030000.0,35118735000.0,13631057000.0,26279655000.0
2042.0,22978234000.0,29762226000.0,35099718000.0,12420573000.0,25482936000.0
2043.0,20959093000.0,29560200000.0,33698000000.0,11583864000.0,23964326000.0
2044.0,19795902000.0,28224508000.0,30863573000.0,10751620000.0,21132902000.0
2045.0,19339438000.0,25731121000.0,30196940000.0,10167684000.0,18296685000.0
2046.0,19222667000.0,23572476000.0,29757245000.0,9822372000.0,16634779000.0
2047.0,18245360000.0,23357071000.0,29824268000.0,9537451000.0,15894524000.0
2048.0,16535645000.0,22733441000.0,29393388000.0,8640616000.0,14693041000.0
2049.0,16286887000.0,21223358000.0,27087014000.0,7885894000.0,13504828000.0
2050.0,15508502000.0,19008848000.0,23261227000.0,7797379000.0,13202164000.0
2051.0,14025160000.0,19419064000.0,21346894000.0,7768576500.0,12949588000.0
2052.0,14225513000.0,18705478000.0,21257791000.0,6747606000.0,12530971000.0
2053.0,14018001000.0,17055440000.0,20972833000.0,5754597000.0,11556839000.0
2054.0,13007709000.0,16111898000.0,20406163000.0,5833304000.0,10735228000.0
2055.0,13039383000.0,14997444000.0,18655414000.0,5491308500.0,10347862000.0
2056.0,12254941000.0,13495811000.0,17993433000.0,4834694000.0,10005018000.0
2057.0,11682279000.0,13543790000.0,17840898000.0,4389829000.0,9272216000.0
2058.0,10950098000.0,13010562000.0,16893942000.0,4095549700.0,8712732000.0
2059.0,10792516000.0,12189448000.0,16455003000.0,4110938600.0,8176860700.0
2060.0,10251133000.0,11218574000.0,16370442000.0,3998115300.0,7825517000.0
2061.0,9493279000.0,11120695000.0,15410939000.0,3490817500.0,7457207000.0
2062.0,9476418000.0,10548926000.0,13949197000.0,3249366300.0,7439530000.0
2063.0,9266192000.0,10017586000.0,12974870000.0,3072003600.0,7342851000.0
2064.0,8970880000.0,9837940000.0,12784919000.0,2729598500.0,6808025600.0
2065.0,8541527000.0,8632230000.0,12259024000.0,2392950000.0,6340997000.0
2066.0,7833427500.0,8505006000.0,11137341000.0,2073026000.0,6080957000.0
2067.0,7724039000.0,8481953300.0,10391288000.0,1886790100.0,5389592600.0
2068.0,7301369000.0,7949997600.0,10168807000.0,1740101100.0,4826475500.0
2069.0,6598004000.0,7873243600.0,10044696000.0,1723018100.0,4436790000.0
2070.0,6488727600.0,7214716400.0,9547383000.0,1650008000.0,4241322800.0
2071.0,6129028600.0,6881961500.0,8677128000.0,1463192800.0,3995432400.0
2072.0,5829739000.0,6490854400.0,8186990600.0,1346386400.0,3569197300.0
2073.0,5692859000.0,6614324000.0,8055412700.0,1167333100.0,3444419300.0
