time,UKESM1-0-LL,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR,GFDL-ESM4
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4640280700000.0,4673324400000.0,4649505500000.0,4680869500000.0,4650232000000.0
2022.0,4599708000000.0,4636847600000.0,4632373400000.0,4686300000000.0,4613447600000.0
2023.0,4544760600000.0,4635258000000.0,4602802000000.0,4671739500000.0,4601521600000.0
2024.0,4519392400000.0,4609110000000.0,4576349500000.0,4648450700000.0,4578611000000.0
2025.0,4507260000000.0,4573256000000.0,4531270700000.0,4614828000000.0,4578294600000.0
2026.0,4449328000000.0,4507439700000.0,4494756700000.0,4587023500000.0,4569886600000.0
2027.0,4409335500000.0,4479660000000.0,4471328000000.0,4557545400000.0,4548429600000.0
2028.0,4370248500000.0,4441025500000.0,4454563000000.0,4534953000000.0,4517764500000.0
2029.0,4317990000000.0,4423897000000.0,4421951000000.0,4496173000000.0,4480087600000.0
2030.0,4259163100000.0,4392595500000.0,4397801100000.0,4462491500000.0,4447922000000.0
2031.0,4237637000000.0,4358082700000.0,4358979000000.0,4451030500000.0,4427613700000.0
