time,UKESM1-0-LL,GFDL-ESM4,IPSL-CM6A-LR,MRI-ESM2-0,MPI-ESM1-2-HR
2000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0,5145098000000.0
2001.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0,5145600000000.0
2002.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0,5142958000000.0
2003.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0,5150693000000.0
2004.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0,5149819400000.0
2005.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0,5104104000000.0
2006.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0,5083803000000.0
2007.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0,5064279700000.0
2008.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0,5046829000000.0
2009.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0,5001120300000.0
2010.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0,4980125000000.0
2011.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0,4967154300000.0
2012.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0,4926467000000.0
2013.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0,4901891000000.0
2014.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0,4867358700000.0
2015.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0,4865627000000.0
2016.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0,4841246600000.0
2017.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0,4787446000000.0
2018.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0,4759668400000.0
2019.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0,4717132000000.0
2020.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0,4686995000000.0
2021.0,4626241300000.0,4649765000000.0,4649410600000.0,4663784500000.0,4683564300000.0
2022.0,4569612400000.0,4626933000000.0,4611828600000.0,4634518000000.0,4665886000000.0
2023.0,4521210700000.0,4603422700000.0,4589328300000.0,4618123000000.0,4640026000000.0
2024.0,4487794700000.0,4569830500000.0,4583071400000.0,4606432600000.0,4619081000000.0
2025.0,4446830500000.0,4534900400000.0,4551835400000.0,4581305000000.0,4586585000000.0
2026.0,4396648000000.0,4485191000000.0,4498398400000.0,4559315000000.0,4578810000000.0
2027.0,4358454400000.0,4440564000000.0,4465493500000.0,4534847000000.0,4543828500000.0
2028.0,4338182300000.0,4403675300000.0,4437240700000.0,4482571000000.0,4515650600000.0
2029.0,4301212000000.0,4368101000000.0,4395240000000.0,4461384000000.0,4488270700000.0
2030.0,4274071500000.0,4328117000000.0,4330541000000.0,4425181000000.0,4461423500000.0
2031.0,4234168200000.0,4290536800000.0,4289894800000.0,4402353000000.0,4438057000000.0
