time,MRI-ESM2-0,IPSL-CM6A-LR,UKESM1-0-LL,GFDL-ESM4,MPI-ESM1-2-HR
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,52289303000.0,55803798000.0,53329980000.0,54357193000.0,54212248000.0
2022.0,50572990000.0,56428100000.0,52040143000.0,54701040000.0,50914746000.0
2023.0,49625702000.0,54605930000.0,50103812000.0,54265254000.0,49967813000.0
2024.0,49909850000.0,52981408000.0,47009630000.0,53575377000.0,49033440000.0
2025.0,49691574000.0,51801387000.0,44985737000.0,52932223000.0,48209940000.0
2026.0,49223086000.0,52110365000.0,43893404000.0,53366112000.0,48617460000.0
2027.0,50393000000.0,52322610000.0,44039820000.0,51467720000.0,49571373000.0
2028.0,50607010000.0,52409344000.0,42150072000.0,50364686000.0,49036124000.0
2029.0,49805705000.0,53867475000.0,40404558000.0,49031602000.0,48912190000.0
2030.0,50784416000.0,53453650000.0,39366537000.0,50011873000.0,47988777000.0
2031.0,49957945000.0,52550865000.0,39239210000.0,50936947000.0,48570687000.0
2032.0,50553290000.0,52119500000.0,39769660000.0,50400230000.0,47606768000.0
2033.0,51519690000.0,50201424000.0,39019545000.0,49389167000.0,46903775000.0
2034.0,49747132000.0,49109350000.0,39415538000.0,49075310000.0,45979492000.0
2035.0,47724884000.0,49252340000.0,39901900000.0,48719806000.0,44034350000.0
2036.0,47847997000.0,46953400000.0,38774920000.0,47482780000.0,43535237000.0
2037.0,47671080000.0,46571414000.0,37875556000.0,46035812000.0,42340565000.0
2038.0,47651455000.0,46897193000.0,36699350000.0,46305743000.0,43738796000.0
2039.0,45788897000.0,45200847000.0,35755168000.0,47077487000.0,43602833000.0
2040.0,44614664000.0,43299484000.0,34397040000.0,46107590000.0,44209074000.0
2041.0,43978410000.0,41073590000.0,33703547000.0,45137867000.0,44565893000.0
2042.0,45224230000.0,40561710000.0,33017027000.0,46696948000.0,42870540000.0
2043.0,44413346000.0,40099107000.0,31848899000.0,45725344000.0,42236280000.0
2044.0,41457980000.0,38683960000.0,30910095000.0,45100204000.0,40817594000.0
2045.0,37343580000.0,37742520000.0,30188755000.0,45137797000.0,41272308000.0
2046.0,34282695000.0,37312090000.0,29785147000.0,45478710000.0,39746912000.0
2047.0,33169007000.0,36208890000.0,28699918000.0,44466012000.0,39959986000.0
2048.0,32550910000.0,35027690000.0,28176361000.0,45977166000.0,39509905000.0
2049.0,32439902000.0,34470613000.0,26964883000.0,45295473000.0,37657313000.0
2050.0,31138062000.0,32904767000.0,26393876000.0,44874480000.0,36803002000.0
2051.0,30367113000.0,32267112000.0,25889460000.0,44025094000.0,35635800000.0
2052.0,30619802000.0,31218520000.0,25109983000.0,44780773000.0,35538500000.0
2053.0,30602187000.0,29624460000.0,24598452000.0,42683793000.0,35866124000.0
