time,MRI-ESM2-0,GFDL-ESM4,MPI-ESM1-2-HR,IPSL-CM6A-LR,UKESM1-0-LL
2000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0,67995947000.0
2001.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0,68388170000.0
2002.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0,67276767000.0
2003.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0,67564410000.0
2004.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0,67666846000.0
2005.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0,68806850000.0
2006.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0,67142107000.0
2007.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0,67504070000.0
2008.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0,66514580000.0
2009.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0,65255637000.0
2010.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0,65240130000.0
2011.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0,63708094000.0
2012.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0,62427670000.0
2013.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0,61943680000.0
2014.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0,60535624000.0
2015.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0,60010750000.0
2016.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0,59624850000.0
2017.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0,58755260000.0
2018.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0,57641476000.0
2019.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0,56085684000.0
2020.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0,55447400000.0
2021.0,52118417000.0,53549715000.0,55161320000.0,55457360000.0,54297560000.0
2022.0,53070418000.0,51331465000.0,55876755000.0,56640856000.0,53206647000.0
2023.0,51802460000.0,50075330000.0,56186503000.0,55769420000.0,52940886000.0
2024.0,50777928000.0,50746855000.0,54591510000.0,54022586000.0,50967118000.0
2025.0,51844633000.0,51236524000.0,53971650000.0,52360913000.0,49621578000.0
2026.0,51034235000.0,51645407000.0,54117335000.0,50380538000.0,48480383000.0
2027.0,48793182000.0,49802470000.0,54758556000.0,50706063000.0,46293295000.0
2028.0,50229470000.0,49714352000.0,55138070000.0,51065983000.0,45285710000.0
2029.0,50274288000.0,48929330000.0,53162926000.0,49562110000.0,43906523000.0
2030.0,48905093000.0,47397310000.0,54085910000.0,50211310000.0,41295008000.0
2031.0,47905395000.0,47803572000.0,54348150000.0,49155670000.0,38669627000.0
2032.0,47701246000.0,46046392000.0,54025867000.0,48825143000.0,37594145000.0
2033.0,48998654000.0,46470150000.0,54295810000.0,48655393000.0,36834360000.0
2034.0,47634760000.0,46787326000.0,54167572000.0,48054727000.0,35347976000.0
2035.0,46343537000.0,47388365000.0,52973875000.0,49873260000.0,34498765000.0
2036.0,46776170000.0,47247294000.0,52366766000.0,48712962000.0,33323772000.0
2037.0,47709650000.0,47363138000.0,52118675000.0,46427304000.0,33054435000.0
2038.0,47780710000.0,47545000000.0,51103230000.0,44419350000.0,33239908000.0
2039.0,46716020000.0,47429657000.0,51984350000.0,42832510000.0,31817871000.0
2040.0,45387230000.0,47930597000.0,51472278000.0,41025315000.0,30470162000.0
2041.0,46413808000.0,48702992000.0,48906994000.0,40523465000.0,29349048000.0
2042.0,45829448000.0,47948284000.0,47631372000.0,39265720000.0,28318708000.0
2043.0,46273438000.0,47261213000.0,45771313000.0,38388320000.0,26910271000.0
2044.0,45240574000.0,46221500000.0,44608950000.0,38212630000.0,25380751000.0
2045.0,42202984000.0,45760090000.0,45842950000.0,37384413000.0,24880683000.0
2046.0,38961000000.0,45354332000.0,46431470000.0,37425300000.0,23495842000.0
2047.0,37978874000.0,43837923000.0,43673035000.0,35424500000.0,22636327000.0
2048.0,36682625000.0,42087236000.0,39714340000.0,33809857000.0,21162040000.0
2049.0,34045510000.0,42743472000.0,38883324000.0,31874000000.0,20026798000.0
2050.0,32342250000.0,40872150000.0,38623543000.0,30568557000.0,18802803000.0
2051.0,32290610000.0,39958655000.0,36855920000.0,30114180000.0,17412604000.0
2052.0,29882237000.0,39381770000.0,36010766000.0,29989978000.0,17107050000.0
2053.0,27870302000.0,39470820000.0,34547070000.0,28046905000.0,16482545000.0
