time,IPSL-CM6A-LR,MPI-ESM1-2-HR,UKESM1-0-LL,GFDL-ESM4,MRI-ESM2-0
2000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0,155883043170000.0
2001.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0,155779205191000.0
2002.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0,155592127748000.0
2003.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0,155262743320000.0
2004.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0,154956107467000.0
2005.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0,154710417164000.0
2006.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0,154504724079000.0
2007.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0,154215587104000.0
2008.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0,153815662943000.0
2009.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0,153551803537000.0
2010.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0,153044885850000.0
2011.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0,152686289981000.0
2012.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0,152331033509000.0
2013.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0,152009992826000.0
2014.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0,151673157868000.0
2015.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0,151502829550000.0
2016.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0,151212590709000.0
2017.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0,150794690001000.0
2018.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0,150379787446000.0
2019.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0,150123630180000.0
2020.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0,149684129552000.0
2021.0,148961173839000.0,149309637655000.0,149245875153000.0,149272641633000.0,149186846413000.0
2022.0,148613595833000.0,149083452806000.0,148541107758000.0,148874366299000.0,148686995505000.0
2023.0,148393109796000.0,148746632584000.0,147765208860000.0,148472529660000.0,148061609931000.0
2024.0,148114848063000.0,148278166642000.0,146911746500000.0,148122259758000.0,147628707483000.0
2025.0,147530910347000.0,147851828414000.0,146037428793000.0,147683132615000.0,147157888779000.0
2026.0,147088266385000.0,147489528215000.0,145297245209000.0,147290212608000.0,146626990956000.0
2027.0,146454260844000.0,147130175544000.0,144523408783000.0,146793416749000.0,145928984615000.0
2028.0,145932768312000.0,146654162904000.0,143669321564000.0,146344368447000.0,145272327404000.0
2029.0,145312955457000.0,146225515780000.0,142690160167000.0,146038741013000.0,144675532153000.0
2030.0,144725642172000.0,146002676867000.0,141672247481000.0,145594903023000.0,144053676923000.0
2031.0,144150802899000.0,145632541376000.0,140668040602000.0,145059999035000.0,143281707615000.0
2032.0,143775414682000.0,145256772545000.0,139443385357000.0,144657379684000.0,142666583234000.0
2033.0,143138669778000.0,144866848376000.0,138351011338000.0,144192112255000.0,142275847934000.0
2034.0,142382692562000.0,144381775837000.0,137224789451000.0,143827202154000.0,141597335850000.0
2035.0,141899367088000.0,144114101279000.0,136203517670000.0,143538514397000.0,140924651059000.0
2036.0,141083621456000.0,143714604473000.0,134809614284000.0,143026553423000.0,140367189292000.0
2037.0,140375502904000.0,143277702422000.0,133495297954000.0,142754522734000.0,139452645474000.0
2038.0,139577182018000.0,142781322071000.0,132352634186000.0,142227724687000.0,138784432924000.0
2039.0,138734769606000.0,142402105101000.0,131137688813000.0,141641691670000.0,138250497314000.0
2040.0,137938255095000.0,142089956744000.0,129976523648000.0,141117981610000.0,137579770486000.0
