time,CESM1-CAM5,CanESM2,MPI-ESM-LR
2000,28635624535341.215,28635624535341.215,28635624535341.215
2001,28596157052441.746,28571839116179.71,28603842150830.96
2002,28598777018467.207,28517123321847.92,28560342135459.92
2003,28588946927147.383,28490529432271.773,28539389544390.24
2004,28592527726221.965,28454919843383.33,28532425828230.562
2005,28576582269225.508,28442783286682.98,28502677937752.996
2006,28513295643104.637,28428192069588.05,28461563487361.92
2007,28465264957854.508,28407494332644.676,28409015443189.52
2008,28434285597483.848,28377579731511.438,28348024706097.38
2009,28423972526733.734,28320619091705.1,28334926875500.938
2010,28423507577566.05,28295759760863.848,28298608568416.76
2011,28384152808246.164,28283695704731.723,28269561276988.77
2012,28296180503217.766,28209329468558.3,28197804595271.62
2013,28223292805530.754,28155206392569.98,28170301403875.1
2014,28195714448625.98,28100414175685.22,28125027815469.008
2015,28132231787308.973,28067047037372.29,28079154486207.195
2016,28101246988286.1,27987523254029.074,28047423486990.96
2017,28050113837523.117,27973252400913.67,28003855115515.375
2018,28001205983476.68,27945065841328.266,27928874135592.363
2019,27919655126364.035,27901963259927.32,27865068683437.766
2020,27845437571449.11,27889680852502.223,27836131752175.945
2021,27760265647308.83,27850840546842.527,27789078240948.75
2022,27645680431208.375,27764539250548.52,27769141585528.613
2023,27604279582630.965,27716870674420.41,27736969518585.164
2024,27576850980992.734,27660495888608.97,27688482733006.227
2025,27486491515748.637,27602127405596.074,27672949290450.098
2026,27383014995381.227,27536435142727.094,27643193875360.188
2027,27313959095673.473,27521943373423.363,27623930445937.7
2028,27268225975969.48,27437925731494.688,27532103130177.71
2029,27223305576748.133,27351290786675.535,27468461135620.45
2030,27152288570730.2,27296965543593.707,27448032302179.0
2031,27115475529412.383,27181911713564.215,27432085840334.754
2032,27078207155871.87,27112117394981.08,27361186253510.26
2033,26952970741458.383,27039008485279.26,27272576869991.977
2034,26903364998703.523,26947890340842.812,27255039574626.117
2035,26822418030957.938,26934865060415.68,27159186709508.13
2036,26721653443438.473,26873536846614.57,27109204248123.35
2037,26686534897376.297,26847526326190.91,27084780106136.02
2038,26633405069486.777,26790752591374.957,27032557638779.52
2039,26517600262990.406,26738672389657.535,26942062076915.035
2040,26400589647617.54,26675900332935.68,26860524589893.215
