time,CESM1-CAM5,CSIRO-Mk3-6-0,MPI-ESM-LR,NorESM1-M
2000,53050526725682.52,53050526725682.52,53050526725682.52,53050526725682.52
2001,53034771884000.51,53001397431291.27,53023373473217.766,53010865531690.734
2002,52995750185056.04,52961135877830.15,52991351211334.85,52962589818764.13
2003,52961564695473.37,52918243879921.19,52953826419989.55,52912745316418.414
2004,52932902775341.875,52856259651862.11,52933265316369.88,52863516253517.56
2005,52889663540246.695,52836122397704.72,52903566970905.484,52844022327723.69
2006,52834659180816.31,52785881070866.37,52856955305839.01,52811810048671.29
2007,52804722227609.42,52750934912088.64,52823681082719.305,52774281724004.17
2008,52751795442494.5,52709028393765.61,52776720174501.555,52725551168854.875
2009,52718427420156.78,52672918898841.266,52753270120860.336,52659524900475.63
2010,52681497070050.6,52631023378180.15,52704431693885.914,52619056951717.35
2011,52645344731237.7,52570588904199.72,52659379584410.055,52560439659143.125
2012,52599453553371.18,52518024740709.68,52638055300219.36,52493325517149.2
2013,52573511244448.26,52465142614615.734,52584404002520.875,52434741571703.89
2014,52495020111954.2,52416119269166.48,52508933344185.055,52404972251607.625
2015,52466217829783.055,52380184524522.62,52459750675740.08,52367862809011.76
2016,52383624326564.58,52293589455751.44,52411872935466.49,52327915025661.016
2017,52288427764722.98,52230549367456.73,52347781970973.336,52262852224909.36
2018,52230543784506.86,52180002599825.266,52291518201133.555,52221280259401.01
2019,52161236277054.32,52135509657859.81,52241217668659.96,52184833282980.875
2020,52088525051956.18,52097741661027.86,52170388772594.49,52141784848127.625
2021,52030549265644.58,52040007377145.01,52105219165135.68,52092058966856.11
2022,51987157652819.234,51989691758568.39,52053236868891.6,52033887584215.375
2023,51927847541370.24,51930203415551.875,51986068710250.73,51958048726445.89
2024,51788647538189.02,51843347210882.49,51899359127237.336,51912478657381.42
2025,51702519423969.21,51776510066638.375,51833364566563.93,51856389423701.36
2026,51576277625989.6,51712707996850.12,51753552662726.45,51820349526057.05
2027,51480574603809.51,51625038093453.27,51674629519395.83,51769881565893.766
2028,51405015394144.336,51532921446015.96,51587981222058.15,51681605775759.66
2029,51333844305441.81,51438205992545.86,51476796583034.875,51628036080003.05
2030,51259944926824.766,51364138512439.12,51371114448766.14,51554656490104.39
2031,51143494112201.18,51279729856067.81,51276037384950.37,51462674577402.24
2032,51030563480893.62,51220483305555.28,51207405149499.12,51396771699885.49
2033,50914190096304.6,51118739661373.805,51125765728780.71,51304519027773.87
2034,50809774785074.39,51002958990048.45,51086050943934.22,51211700264808.39
2035,50684153435330.84,50888854965543.15,51009576102435.73,51128591441654.7
2036,50521400429129.414,50795022950401.23,50949108562088.02,51053507300696.8
2037,50349834041171.99,50727496891303.02,50844831045494.93,50970646800532.234
2038,50259248418334.53,50638500101581.664,50764116465424.83,50876284286191.98
2039,50147178041596.43,50560294058191.59,50682170692340.19,50810884361447.74
2040,50064075498477.445,50485042773732.05,50612109930531.54,50740112890828.2
2041,49965974826386.19,50411203760431.83,50558777521175.69,50654431503376.97
2042,49864567162056.72,50326934810474.555,50495154092330.4,50548282880942.016
2043,49718690805153.27,50237767597570.625,50449430700615.875,50403745515220.21
2044,49546896309786.1,50116328282818.71,50357971724895.625,50327486106793.46
2045,49377557584074.84,50006349855499.47,50265331443818.27,50224270347011.07
2046,49245048534798.695,49902142604589.445,50165695018219.94,50110772545135.945
2047,49158712695312.25,49801266596385.09,50087543678743.14,50002712081489.9
2048,49011685534635.79,49720546752505.09,50016902573563.83,49937246400052.43
2049,48837152257337.69,49635025474492.24,49917806482729.79,49851333529651.6
2050,48708092972263.42,49522640046967.445,49810743073270.984,49733802109862.836
2051,48524835678370.6,49401045724959.336,49709495839129.81,49661193377737.64
2052,48330437322942.12,49299228872524.34,49639214565903.4,49553399891432.016
2053,48189285775961.43,49181021798929.09,49551525358956.53,49461998568248.73
2054,48041970075574.02,49075497589396.414,49448951559813.95,49344915199199.625
2055,47915080694060.766,48980858942178.95,49381132550247.51,49262031486419.18
2056,47745434217163.086,48848506716393.67,49282259936563.11,49136374411133.9
2057,47498220115126.695,48704128434082.71,49164397503728.266,49044003188777.484
2058,47317470011723.055,48582070089770.6,49059421590830.72,48941058751765.36
2059,47152607635702.664,48471302321734.71,48972641134026.64,48868015655262.375
2060,47016712351540.414,48350784902014.125,48900264218175.16,48781250310209.17
2061,46879182227223.1,48214000142065.98,48812169064028.2,48684055732879.23
2062,46729180604600.28,48134272243079.805,48725628759245.53,48629909788563.31
2063,46606262100613.16,48011753833050.336,48668943178486.69,48520025879593.01
2064,46475517896366.24,47881844957038.84,48606263435045.414,48413718453185.54
2065,46376526491615.24,47762607623231.88,48537405897985.445,48339980395690.88
2066,46268557005499.46,47625505473560.22,48439833724606.414,48196147265001.98
2067,46161575294553.68,47513192023484.21,48363931913065.625,48095950810107.484
2068,45991374191135.805,47408329714517.07,48302624754065.125,48032439177173.7
2069,45857176365265.984,47275325248024.44,48240100784204.836,47924530105907.14
2070,45654135966453.63,47186535090916.77,48158320908925.34,47849366493891.24
2071,45403710752857.07,47055977507082.24,48101367130946.66,47791295064587.92
2072,45212229827588.305,46920562493824.7,48045491915485.89,47661233717289.78
2073,45069247309280.66,46811847224500.695,47963867135185.875,47549633505881.16
