time,CCSM4,CESM1-CAM5
2000,53050526725682.52,53050526725682.52
2001,53005788388742.66,53038335607706.88
2002,52953310615444.15,52998443826142.26
2003,52923485833375.3,52970328873007.484
2004,52883996958280.33,52946885415388.18
2005,52845413830628.055,52900714945250.234
2006,52831233607007.73,52846681523751.266
2007,52763637114940.555,52803954830950.95
2008,52723543155620.31,52761113944527.69
2009,52662826982573.164,52715634531816.625
2010,52630798648548.64,52674321551226.984
2011,52584636709616.01,52634571150549.336
2012,52539339254072.05,52567362507914.8
2013,52501205674163.72,52517262949766.64
2014,52473463385431.6,52476858345149.46
2015,52435921120458.47,52428069040528.6
2016,52396030087145.125,52346684206609.055
2017,52320694381699.74,52263321262504.01
2018,52260237698051.73,52187241557554.72
2019,52191138965882.98,52107375731683.05
2020,52107434533562.945,52071497571591.3
2021,52044491458585.125,51998073100539.92
2022,51991139179269.11,51945001705592.734
2023,51911379629429.94,51826415957743.92
2024,51872441214806.86,51766213150452.04
2025,51810769160713.61,51707045252524.59
2026,51742390340694.69,51642103043449.414
2027,51671371768160.48,51543854408620.36
2028,51579507971294.47,51469878464527.04
2029,51505254852843.27,51357268107253.586
2030,51419571698166.15,51257805224139.49
2031,51346909991691.59,51163378283780.33
2032,51290925497665.875,51112755291057.164
2033,51220156444155.67,51029142524304.05
2034,51145578800778.19,50947484850783.2
2035,51064003714448.88,50878924973595.98
2036,51011083712584.13,50782673060814.75
2037,50921688614698.34,50663031280419.125
2038,50866529213938.11,50526809193507.01
2039,50785826770412.78,50430608318430.17
2040,50728301046939.72,50364612626348.18
2041,50651317010873.164,50283468766642.14
2042,50560220768834.7,50162766674555.24
2043,50488981378492.44,50061325779811.68
2044,50391976199341.734,49971835453707.086
2045,50340528021786.02,49880084874824.99
2046,50277162229622.34,49777460095259.76
2047,50205031912835.98,49656144212353.21
2048,50123595754717.29,49545882754442.84
2049,50018509436184.195,49459302180935.44
2050,49939975027629.086,49339172078551.914
2051,49870747160874.12,49197198353191.96
2052,49783853414489.84,49061790711902.26
2053,49716651980586.12,48928666383362.21
2054,49641961932419.38,48864008441003.1
2055,49518324238239.74,48779290631933.6
2056,49404939704806.08,48657752565983.016
2057,49292953385949.6,48500693426688.31
2058,49211503572145.164,48365202190645.73
2059,49095973881364.71,48204163194481.98
2060,49024501096658.49,47909150262086.4
2061,48907152240012.625,47731530577638.32
2062,48792900213604.72,47632626569019.8
2063,48650705987143.3,47495542695201.375
2064,48577260351794.586,47377670950884.96
2065,48495412361839.31,47245220361599.62
2066,48418742529691.6,47103077956757.266
2067,48301231790478.71,46926932062662.28
2068,48195079303176.945,46785217027532.53
2069,48073179824658.766,46626495522121.125
2070,47902836795424.51,46500255693855.8
2071,47823361180637.14,46370056715629.55
2072,47728319170732.07,46208559206713.29
2073,47593897622821.2,46051626581625.11
2074,47455380577283.48,45894580595516.51
2075,47306795612225.88,45726547661542.16
2076,47170107732602.46,45569713753893.12
2077,47069510349835.875,45323152532998.86
2078,46959836514203.35,45150749750285.62
2079,46845578827457.46,44998820114250.69
2080,46764072855985.2,44807557511194.38
2081,46695420800047.484,44607550609244.15
2082,46570396625585.81,44396679753639.945
2083,46463169776423.93,44210832217978.6
2084,46314934033246.48,43951278020312.12
2085,46222935999050.59,43719272459884.98
2086,46125776220256.76,43531092224225.805
2087,46009165355940.81,43313287634148.62
