time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,53050526725682.52,53050526725682.52,53050526725682.52
2001,53002956931670.516,52998705630126.945,53014905567096.41
2002,52941223952621.016,52955488314090.2,52977080499368.31
2003,52901731999278.52,52908364579542.58,52930671237663.1
2004,52847603157786.76,52843626840305.695,52895570602787.8
2005,52802408055168.91,52817932256542.375,52854147083670.79
2006,52779683610067.49,52759518719540.555,52804663339431.96
2007,52724506356787.305,52707655968730.82,52755934398308.33
2008,52696310853008.33,52679802815340.234,52713028445460.945
2009,52655187201422.78,52634616661785.83,52647916585382.7
2010,52616011935808.055,52580086016390.46,52574050868051.03
2011,52553461306348.91,52547601046100.88,52531188517627.48
2012,52504912669058.44,52480791537439.54,52472195387095.74
2013,52473226767424.37,52430584873372.73,52428354105945.75
2014,52433695998020.57,52386257958642.51,52352121320871.664
2015,52372432858506.81,52336672862866.73,52300367719743.83
2016,52304986998826.375,52297443570916.88,52253663747593.19
2017,52239269057867.54,52239591309552.33,52206448566268.66
2018,52202591985656.22,52156359028121.96,52163530320939.2
2019,52138629901024.11,52094573547197.734,52119686733922.195
2020,52058795430503.78,52046263236745.234,52072737398119.336
2021,51985284397337.734,51991020801083.805,51998590425353.734
2022,51908973184728.12,51906856477687.734,51946300667264.086
2023,51815811672677.62,51809435150711.125,51892857662214.47
2024,51717180523392.45,51723442876158.1,51824394226086.59
2025,51626058926706.51,51599173605762.91,51763084311161.09
2026,51542907670400.86,51510674236537.52,51720377151328.4
2027,51424224232954.33,51428847761522.24,51639541570451.62
2028,51305106145893.95,51348338181610.414,51585557235289.01
2029,51190048089198.81,51310141256853.94,51521016687654.89
2030,51123739416056.914,51255930079713.11,51449937426871.95
2031,51040964752371.695,51195139123504.15,51382161269271.88
2032,50933828622114.336,51125674491511.78,51325953065148.984
2033,50818926026429.75,51061804738949.766,51246762116725.67
2034,50739945799921.28,51008379613216.44,51145379215552.51
2035,50639087301931.33,50910987234682.56,51081304020508.664
2036,50519659480751.92,50820196606373.03,51024385190545.23
2037,50400451579184.79,50722140127247.94,50943424910456.86
2038,50238254956756.44,50627785134059.08,50884866095650.875
2039,50135043862828.81,50539595929104.45,50809489125618.695
2040,50048824218810.5,50411965105292.96,50755234456547.01
2041,49950097746265.555,50335896976308.32,50665074192904.57
2042,49863720685218.84,50207756106568.17,50590537459736.75
2043,49776348126437.75,50122882459302.58,50522803212434.78
2044,49683970192856.16,50003647840770.625,50420752019632.72
2045,49589518405577.09,49900607195471.33,50330338924893.586
2046,49474397685911.98,49786482373991.336,50228965092236.66
2047,49386242599351.93,49675687584317.79,50126369931795.01
