time,CESM1-CAM5,CSIRO-Mk3-6-0,MPI-ESM-LR,NorESM1-M
2000,167671980358016.25,167671980358016.25,167671980358016.25,167671980358016.25
2001,167337429567334.6,167253880358982.3,167358510194870.72,167345123754116.2
2002,166974360594019.94,166910097736954.25,167051138481509.25,166939394711047.47
2003,166646405749340.66,166449047217669.72,166700817054664.75,166585783299335.88
2004,166370271946121.56,166000128843397.56,166426926571263.8,166202814234920.4
2005,165944281365159.06,165630851656431.7,165959970994011.44,165837438721916.4
2006,165430889476836.94,165108599171459.94,165704383572021.88,165462696281898.7
2007,165093287322822.88,164683811204241.06,165284937860094.56,164990893149545.16
2008,164697814940909.38,164457411267598.53,164943605071517.0,164572401118103.97
2009,164438465094327.25,164168894731557.53,164670402968996.38,164145059108428.9
2010,163866679320548.78,163846612749098.1,164309280534119.75,163780235363302.53
2011,163421374481398.7,163529256517950.38,163801470213822.06,163271896411958.3
2012,163121587689673.34,163026496376142.3,163386992624833.94,162818051902276.94
2013,162796936097713.75,162565702754395.5,162918542378309.03,162424248440298.75
2014,162416065102700.88,162094901661917.9,162387948029755.7,162181774682616.1
2015,162011276520286.53,161618780731050.03,161732674605228.0,161804487967928.56
2016,161509185046220.62,161141589277248.12,161203739205322.28,161368076083190.22
2017,160951407814281.03,160652780592059.34,160732888068334.9,160833264560203.3
2018,160406854988366.25,160215356969631.2,160246210038451.2,160327215500919.4
2019,159818752273041.66,159703541394149.72,159756561668602.88,159855166659589.78
2020,159289019406132.22,159346840180073.22,159298343584307.03,159411431828686.0
2021,158804843225900.62,158810574304508.66,158807899471890.47,158795959105803.1
2022,158273274179123.62,158220388943311.8,158228094656001.62,158340409728492.53
2023,157593519093548.3,157667596980933.1,157605180180395.1,157773477308317.38
2024,156905334170863.22,157074453633846.94,157128558896637.66,157060904435064.7
2025,156103822384537.28,156598200621243.06,156638250652548.75,156427262668930.7
2026,155396358869227.06,156014327100094.84,156031770711819.62,155864514619421.12
2027,154695321114208.88,155558428545577.44,155456670506871.78,155297966339062.62
2028,154056564544418.53,155069047723479.38,154937653085500.1,154949889406628.38
2029,153426613786532.56,154517605610722.78,154311175101599.03,154410831583665.94
2030,152576789940616.5,154190860991859.78,153567738365176.78,153765302516764.94
2031,151706047801510.78,153687859742189.7,153094962939951.53,153077509388639.78
2032,150785986410404.1,153324228392270.75,152568125095957.97,152611234448239.62
2033,149907092271225.22,152754835287135.9,151844032242562.1,152007677698483.0
2034,148947587004375.94,152034087021654.38,151185137033828.5,151546858066852.12
2035,148128330509219.8,151475325848557.56,150624243988681.25,150825215382141.94
2036,147204894765832.88,150835859755610.4,150062806410133.97,150363630637148.16
2037,146246468166298.12,150137811431907.22,149483419352613.28,149631856048167.97
2038,145266523095484.0,149552812823607.84,148852822635712.4,148831917303908.62
2039,144247603061339.75,149039188133004.56,148230613064372.06,148096020649908.44
2040,143430783606817.8,148422293605811.7,147539722567633.97,147419767403688.47
2041,142480544212798.78,147859278203211.3,146949995764741.03,146575674300875.7
2042,141647260662047.38,147036925735344.44,146389959908089.16,145839599949158.2
2043,140864041194314.88,146488842620870.47,145831658033052.88,144954246175774.8
2044,139866578240321.6,145820013721615.2,145276429916995.94,144242806401204.7
2045,138689148782579.6,145144826643649.12,144642086036966.06,143485985069068.94
2046,137675768227852.06,144442057762437.47,143968996320438.6,142642148108131.62
2047,136663524461307.83,143745298925321.0,143427330622602.06,141909457020671.62
2048,135662808548911.9,142986073290868.6,142829217294174.94,141258162967727.28
2049,134764291631589.31,142413491713085.12,142277556555703.3,140529466079077.97
2050,133856742110712.84,141827385595476.84,141804168096203.03,139631278761484.48
2051,132745459923831.84,141143607381475.25,141236611597772.0,138959777504793.38
2052,131575810155526.19,140493800401251.56,140612198101863.12,138179559391178.52
2053,130623264952806.31,139830309622061.75,139951132156134.1,137436316319011.72
2054,129608416807470.94,139212846423914.75,139247178803349.1,136704676948297.84
2055,128499797648816.31,138565761737631.89,138767717692798.84,136087725733551.97
2056,127267940928359.78,137836996071950.0,138215588230226.14,135467616945317.4
2057,126119583154134.56,137049120557698.53,137520832651283.84,134775979075968.02
2058,125147527576505.84,136430080091034.56,136937590470523.33,134048262761706.22
2059,124159795410755.27,135659103287876.72,136276509624541.06,133275476892285.0
2060,123054391264927.6,134890032332304.36,135553264640893.88,132789392603331.38
2061,121953551750789.69,134177681595590.44,134981424955640.45,132052853103952.22
2062,120815298102903.81,133588367648852.16,134509092495621.45,131418812967226.31
2063,119902362007172.73,132952282200678.0,134027355691746.0,130797667819112.16
2064,118852312782769.06,132338417778833.38,133419703404500.78,130058740069512.78
2065,117874077306462.97,131730203492751.44,132738669623492.31,129481306912246.28
2066,116988699634682.66,131097512692045.38,132226390321121.75,128678307689590.31
2067,115914432784320.75,130493577995054.22,131709821184205.19,127919381484397.16
2068,114596571944360.12,129920190438964.75,131189620054039.14,127259687931642.31
2069,113560066086747.36,129321798159259.38,130592811599172.2,126573740648783.36
2070,112533799070834.48,128838277974509.81,130026468419075.2,125920674679303.1
2071,111268974305990.12,128329003000273.78,129397248678127.8,125412680307212.78
2072,110339987895822.08,127818472908539.25,128896515763541.28,124761528955656.02
2073,109351251194584.34,127310859364012.53,128457851553043.28,124020817385234.38
2074,108274609281650.12,126793533532233.1,127961840795546.4,123394726659981.52
2075,107277985445019.47,126269279319640.44,127444057271596.72,122734009102159.03
2076,106361246579783.9,125713405428701.61,126856509634896.34,122099892585330.03
2077,105437024574355.16,125210447717233.16,126385588812298.25,121439832780326.89
2078,104363052805571.14,124673566047294.53,125767290154123.97,120725321028474.11
2079,103390266741709.55,124097428331964.4,125244806468882.14,120130187118973.38
2080,102425847098994.56,123524945656416.73,124855254338053.34,119624882387798.83
2081,101509547414402.72,123028780744939.66,124360165943912.69,118960140702451.86
2082,100519287522662.53,122493823387089.66,123774808364939.02,118307562472282.0
2083,99374671153966.97,121976589783399.97,123326956318926.47,117643985895405.03
2084,98279869243938.22,121371716171565.1,122810323025187.34,117037698031132.62
2085,97338230413014.34,120861988906089.84,122442252762691.44,116397010827382.66
2086,96325511580479.5,120317018222142.0,122056493877963.3,115781787440833.22
2087,95393861960244.58,119854258898542.3,121602221710481.11,115257947837690.98
2088,94389736415357.9,119317736272372.39,121188507831873.88,114795723067868.16
2089,93485783651062.12,118815289910189.11,120686159590048.67,114263392171091.3
2090,92505634564669.75,118329078469880.97,120210254367371.38,113611260547797.78
2091,91611334944704.1,117736780465463.81,119837864821219.34,112953915038806.75
2092,90758896173570.88,117226534144093.66,119324644588408.0,112326439220977.84
2093,89965813330797.81,116677421538849.0,118817353774334.06,111684205213919.83
2094,89073184914977.84,116174372761409.56,118406016581066.73,111093413470024.25
2095,88333757642435.56,115651492264363.88,117935341315257.28,110532078335861.56
2096,87606641316202.77,115189636565287.31,117423633389729.9,109943659113721.77
2097,86865070630463.52,114892945404856.17,117029112752692.3,109398393283409.22
2098,86143852128738.03,114487745301609.58,116654366833407.19,108700374683389.84
2099,85299624416958.25,113940093107632.47,116245842005255.19,108004595855852.28
2100,84485123801510.47,113467561225360.38,115909574730524.19,107514662480366.27
2101,83692817119957.28,113034961070014.6,115469308589567.53,106989203863772.72
2102,83046390654194.28,112521986108727.4,114955055733660.16,106351633222805.12
2103,82310565750467.48,112159763523105.62,114474051831222.38,105799367409089.47
2104,81591130739932.56,111634789981792.0,114006310221629.47,105251624825537.44
2105,80816756470273.19,111066288772407.44,113592055297732.28,104594909357970.25
2106,80043949012623.9,110623198125711.03,113180168878350.45,104050651722576.58
2107,79400029690049.25,110210869020343.1,112721293636854.27,103433135677353.31
2108,78693710645360.81,109766429059948.47,112290510322089.86,102960979718013.75
2109,77944301741935.72,109321283612615.75,111796643161630.83,102450227599174.03
2110,77301898841126.03,108873597054759.06,111399504157004.36,101956093977597.7
2111,76744413487285.12,108410428552219.75,110971306366865.64,101421370547124.31
2112,76115260590693.19,107896555568489.25,110503675387943.9,100940068730227.62
2113,75482851889498.78,107401765654422.11,110119298089458.03,100358622398522.02
2114,74780969624944.11,106914670643491.5,109707983202413.12,99899083353515.34
2115,74098998061056.69,106459170226762.58,109260303859683.1,99406192916536.53
2116,73442434089294.1,105954049427909.83,108853638670626.84,98887431773321.03
2117,72860731255872.62,105496452164065.78,108548294389806.02,98431590865327.19
2118,72367315136939.6,105080742959472.22,108180263589923.62,98018307472108.34
2119,71785386825683.4,104686523807700.34,107791965636779.47,97516841764756.25
2120,71215439424785.97,104329722656292.73,107392166484277.66,97003889104183.31
2121,70761335599944.88,103942550246762.88,106964383690562.02,96307054965662.69
2122,70295330070198.234,103657387116495.31,106474259824089.69,95866828138420.9
2123,69683693853830.16,103241428122497.22,106012261069302.81,95479607205207.66
2124,69092859457032.09,102735214690123.42,105745884952524.73,95007505096032.38
