time,CCSM4,CESM1-CAM5
2000,167671980358016.25,167671980358016.25
2001,167255215160721.62,167330007607245.16
2002,166689813952512.6,166954332095854.62
2003,166071602780938.8,166631592859675.75
2004,165735568546451.56,166355799943669.34
2005,165353067998080.78,165925739685868.97
2006,165116094790127.06,165418876080010.8
2007,164733070322928.44,165111793451083.5
2008,164257051716207.5,164762310770324.44
2009,163900025739138.34,164518306650389.16
2010,163533664199365.38,164193711244469.28
2011,163218866823593.2,163709112926983.28
2012,162835139678067.0,163246026580770.88
2013,162441302348488.72,162823711227607.3
2014,161991273196525.72,162387533063884.75
2015,161639141530801.94,161936946906771.78
2016,161257868123871.88,161335332219534.25
2017,160749606158471.97,160930266384995.9
2018,160154592604843.78,160494890300772.6
2019,159768385460774.8,159935126001902.75
2020,159330801607648.8,159300912675402.5
2021,158852142746226.8,158550113206303.56
2022,158428927054391.88,157913610416855.84
2023,157931684313270.84,157339608537675.1
2024,157469365514997.7,156669975209385.06
2025,156972207542541.6,155980416642155.5
2026,156377485984909.5,155312094089267.12
2027,155948067622308.38,154681637981986.22
2028,155518318430623.06,153956122365153.22
2029,154946776634960.97,153153135171578.66
2030,154338920285232.22,152405963828315.06
2031,153879998484335.88,151713342817388.56
2032,153383250048330.12,151006711015240.06
2033,152825359350985.44,150279801302069.56
2034,152248967559942.0,149642488786137.44
2035,151732755952264.8,148923173318721.72
2036,151295937910525.66,148322603797731.28
2037,150671273655315.53,147517851377211.44
2038,150293414219606.12,146738061798013.78
2039,149592217200991.7,145941335280478.2
2040,148974003650736.0,145113485373302.1
2041,148473919301277.5,144367522221363.44
2042,147823557766904.94,143609981775900.8
2043,147324806518804.7,142846261605352.97
2044,146690257406447.88,142137286473250.53
2045,146167860398302.12,141371205846034.7
2046,145597239030144.62,140612451747475.0
2047,145045514781762.66,139678393690741.19
2048,144479950842857.75,138832845992602.11
2049,143804088970825.56,138143083854832.8
2050,143214591976709.38,137180565401331.64
2051,142651732249687.3,136159127724655.56
2052,141955403659580.7,135216117742943.03
2053,141334225211877.1,134259768050197.62
2054,140620615371488.56,133583562193265.66
2055,139985399836553.38,132784180704514.88
2056,139381727171760.94,131962381568637.31
2057,138757645936725.22,131084596283275.73
2058,138126387214587.12,130420476615427.19
2059,137534185412916.4,129502542338345.03
2060,136941046772644.1,128332979068986.03
2061,136334213481768.5,127471503496577.28
2062,135638036270612.81,126530298060599.22
2063,134946743059518.06,125666030695577.4
2064,134264052007680.69,124672690195583.1
2065,133599546715035.05,123578307416607.03
2066,132868125443503.94,122439492722162.66
2067,132358752561175.78,121369164850499.8
2068,131687350562079.19,120364453007894.36
2069,131022286147335.02,119315736851319.98
2070,130299277079485.5,118259468228919.55
2071,129648551726488.28,117226106200899.22
2072,129032002995630.9,116156382519977.98
2073,128363307288930.69,115267127645475.78
2074,127646891704059.31,114355556413171.47
2075,126936613012773.9,113330295222475.22
2076,126197783796016.47,112305238801105.14
2077,125388161117653.75,111210437883119.53
2078,124559959578850.84,110190691192297.95
2079,123807949885027.44,109206222487877.12
2080,123149542171185.48,108095650329673.47
2081,122587097359454.22,107027630275042.88
2082,121784652859905.73,105978848623423.77
2083,121055688047754.1,104799703162031.94
2084,120253868147714.75,103551744681289.25
2085,119464520324763.69,102362075952262.7
2086,118820561471684.0,101172766134989.88
2087,118099645473388.69,100005874051771.12
2088,117377317652284.62,98786912274012.22
2089,116655283700699.78,97652626136175.03
2090,115953066620732.05,96713431322651.12
2091,115093589195898.72,95569469988355.95
2092,114378763942068.88,94484881150143.84
2093,113651542382935.34,93591369696542.66
2094,112885258376371.66,92622264004546.4
2095,112201021307484.1,91547638774400.44
2096,111490196511563.47,90591529597655.78
2097,110753792782446.44,89535896011225.38
2098,110038586482248.97,88459374729614.34
2099,109406001370476.84,87356869886596.62
2100,108658387051920.03,86271118624684.38
2101,107858224629286.03,85233027076190.12
2102,107131486776846.78,84204506188986.22
2103,106429009754803.28,83397399066230.12
2104,105822665660500.38,82447956204793.44
2105,105161805227286.97,81619804026036.1
2106,104517946264314.55,80678584130671.12
2107,103913873870469.31,79710412768088.1
2108,103321671189807.92,78842447359824.81
2109,102617289768327.53,77964249311446.61
2110,101874999465733.88,77043476052399.6
2111,101274377889016.8,76280720545129.77
2112,100576402701213.3,75419056140292.5
2113,100013418427117.03,74590642632114.34
2114,99412784248467.1,73820137705401.56
2115,98691835173313.64,73036096682658.25
2116,97940363140995.7,72273496019846.47
2117,97292034597657.03,71455689528781.31
2118,96702023900472.69,70724173720564.9
2119,95954575333272.06,70037168094834.59
2120,95295937709954.7,69288958741772.53
2121,94626847987600.53,68496832571408.68
2122,94043771544586.94,67652841946168.41
2123,93406805731092.94,66870492833958.72
2124,92706941111508.44,66124216109533.125
2125,92067217919282.97,65337844898491.11
2126,91353167130563.55,64543538120998.94
2127,90775195517215.1,63852035215752.664
2128,90124762259017.55,63056299959793.11
2129,89525828690668.34,62418058403413.54
2130,88766755659502.67,61536868640495.516
2131,88081049230561.98,60795462462392.59
2132,87591158060598.19,60171845320585.44
2133,87039333831588.77,59515535051788.19
2134,86329014443256.06,58828101574833.92
2135,85623130356679.03,58123730415986.58
2136,84927044850718.1,57407225651466.61
2137,84315479956099.44,56699947903880.61
2138,83775617189803.27,56054465302499.78
2139,83133000075582.75,55338642955921.64
2140,82645944195719.22,54558186757162.4
2141,82012563673649.25,53894273342453.91
2142,81341670840715.0,53241974331679.97
2143,80700909235190.12,52625262688860.28
2144,80183952898393.0,52053441834329.34
2145,79537766261651.88,51438468010097.016
2146,78971609716255.92,50865100597305.85
2147,78339869449043.3,50219924769337.56
2148,77808416830133.5,49610634612001.78
2149,77199560161309.52,49104524454384.04
2150,76622716355602.83,48527914232378.42
2151,76054294838304.98,47887849450405.03
2152,75582941525982.75,47261252496853.23
2153,75131294980933.3,46641048113392.94
2154,74642921305363.08,46028289492109.21
2155,73998190544521.17,45329346684749.016
2156,73362666105194.6,44738420450336.164
2157,72908127247695.02,44148429639980.86
2158,72462940368624.72,43572285943743.94
2159,71957750060502.05,42923632220620.56
2160,71521579846903.75,42320351047546.8
2161,71032078634613.81,41748644009760.625
2162,70549881961454.0,41209035727266.34
2163,69921429835427.38,40691681224369.03
2164,69441105499245.91,40144224596513.16
2165,68907140281036.7,39681600060402.45
2166,68391208660763.875,39242198755509.39
2167,67890482479996.586,38693052169298.39
2168,67333455127232.59,38135976803918.14
2169,66784275415838.53,37585029075379.84
2170,66291041807238.28,37103722040950.86
2171,65788496648010.34,36635077065766.63
2172,65293199481621.62,36194624676008.586
2173,64755634963266.62,35693142855949.69
2174,64234211233016.52,35242533008445.38
2175,63646365986525.36,34794423025935.242
2176,63050092256024.4,34282061386198.285
2177,62585806723454.47,33800242088984.312
2178,62184607620499.266,33284713497343.97
2179,61688052603784.4,32835562654979.438
2180,61154395817881.09,32470568841693.543
2181,60716985251483.586,32105739654201.164
2182,60275547595983.48,31707597709889.945
2183,59937182000886.26,31197675784502.312
2184,59532111536740.234,30792824448307.49
2185,59002280509755.016,30449408846323.254
2186,58545826214120.63,30045762896892.16
2187,58160426923773.086,29659492998854.18
2188,57785801251267.586,29319524056450.31
2189,57360912986815.63,28893404801950.99
2190,56876650082010.64,28502233342451.18
2191,56433118051230.0,28192314983579.555
2192,56113232588893.625,27884952432633.5
2193,55820687529623.31,27552621975474.844
2194,55504646328704.91,27206163949755.65
2195,55214286078666.445,26876112756362.13
2196,54757127320330.03,26479763489064.562
2197,54404033869746.8,26096433855591.062
2198,54023460123731.86,25818116769684.176
2199,53645995806608.43,25476396750162.22
2200,53262930535462.57,25158320465121.617
2201,52923303787632.16,24830079187863.688
2202,52523603291693.484,24482079878040.055
2203,52196278685068.125,24124729084119.145
2204,51896208293542.77,23800447751755.156
2205,51561141898126.28,23464637579835.312
2206,51240420706916.78,23147273670451.13
2207,50898495883613.36,22767339554014.88
2208,50511817339911.34,22430580761487.62
2209,50213018575205.11,22108515413498.992
2210,49939333488410.58,21807974373084.297
2211,49491506973531.41,21483620597608.055
2212,49082470646236.61,21186193253408.695
2213,48771267018272.17,20816635028427.184
2214,48502596993977.836,20482020631218.156
2215,48200564855866.83,20229187024216.36
2216,47898462009849.97,19973135872690.688
2217,47501946758740.3,19732096550993.977
2218,47167734344696.92,19413521847209.46
2219,46831569670909.734,19119139564662.133
2220,46532788875431.06,18803133808830.875
2221,46177741044317.016,18558791209925.74
2222,45875315528836.88,18319890583763.758
2223,45614796724578.484,18082942431675.574
2224,45357071642749.06,17825696857682.508
2225,45075766621577.42,17581515051277.37
2226,44666886256072.625,17304323265370.004
2227,44344435831902.47,17050904277666.59
2228,44009640828956.08,16807157635195.135
2229,43568045318354.47,16512805136214.82
2230,43320609622586.125,16281682364046.93
2231,42934934916154.84,16071576121795.969
2232,42579120535171.516,15819479001688.648
2233,42307359687344.88,15599194946004.95
2234,42031057275580.75,15382423186815.887
2235,41826820363379.95,15175249133521.281
2236,41456155111015.58,14991208932375.45
2237,41127368044980.08,14777587445995.695
2238,40841888049255.41,14534242630208.684
2239,40445026700675.55,14321029408197.49
2240,40193242295681.44,14065881254369.87
2241,39922014277666.81,13859918700783.938
2242,39536709157765.19,13645046253544.02
2243,39228062725927.89,13443029095313.342
2244,38977757439119.484,13242669173161.89
2245,38676756663099.984,13044217225692.016
2246,38377282910726.375,12890385023085.105
2247,38132147913758.12,12681191594888.777
2248,37859152635351.03,12475551306628.492
2249,37555374918523.734,12261877522691.861
2250,37293342153104.83,12065703387490.898
2251,37036205989050.59,11892574177724.082
2252,36786298145123.34,11707290695875.75
2253,36512394478057.47,11577803235458.062
2254,36248461306839.69,11419384635421.928
2255,36025436628764.68,11279331685835.486
2256,35786874382927.03,11077537861044.02
2257,35491672561231.85,10852180055575.83
2258,35275403078727.11,10708154179681.871
2259,35071878331453.633,10569551457567.225
2260,34821336416505.965,10412700345787.545
2261,34568577542060.83,10251052061605.96
2262,34302298406644.406,10096579798044.049
2263,34089752921196.523,9942165481750.426
2264,33914425787354.164,9765459223056.121
2265,33689517174790.547,9623541819831.652
2266,33473606012780.14,9471350124194.2
2267,33276535197272.445,9320288494606.02
2268,33042776272257.164,9192129551143.73
2269,32882307953819.188,9021455635961.74
2270,32648550514225.492,8836201323517.79
2271,32443709543958.707,8697899664141.8125
2272,32202835260455.453,8578906178126.7705
2273,31957546595689.582,8401952322784.102
2274,31756334449385.387,8282005315671.857
2275,31519546461991.21,8165325944175.064
2276,31296405449770.754,8049575825218.734
2277,31044392383927.613,7920459132391.735
2278,30859035868529.594,7777616044068.646
2279,30633026860620.953,7660391444779.897
2280,30432883450257.234,7544004677781.152
2281,30202745064855.062,7427983906674.226
2282,30017573671183.71,7312928609932.014
2283,29836630821087.67,7212462532335.1045
2284,29688123920395.906,7103198831894.547
2285,29479185863203.562,6996677507981.137
2286,29275642279974.14,6906982785474.787
2287,29114764948107.15,6818129864651.246
2288,28960741197205.098,6720535015308.904
2289,28727084556060.29,6615363662652.514
2290,28506353322185.117,6521087783737.073
2291,28293126209188.2,6421395712895.362
2292,28066187712740.902,6315174782815.696
2293,27837578612778.656,6221695660021.148
2294,27674444760288.227,6138497999488.301
2295,27498573433495.523,6065084898868.681
2296,27330204932024.043,5996456401376.526
2297,27063713460506.516,5919971024107.688
2298,26870993422198.75,5841058442381.666
2299,26699247298832.82,5761999511041.524
2300,26525947706099.25,5696480344600.098
