time,CCSM4,CSIRO-Mk3-6-0,MPI-ESM-LR
2000,167671980358016.25,167671980358016.25,167671980358016.25
2001,167275488009466.38,167262643738607.25,167349258378178.5
2002,166711032752709.72,166933144334890.0,167031625056425.44
2003,166101267351095.34,166484756831047.25,166674348457164.22
2004,165770318390837.78,166055712270300.8,166389390742978.75
2005,165408235044839.12,165715093646022.97,165921160362257.34
2006,165180025726953.97,165216083304755.16,165660402866152.44
2007,164820012335206.22,164765290248353.7,165302425015731.75
2008,164397204583840.03,164463544579332.94,165024903679900.62
2009,164052111767623.5,164045263442412.25,164568085114359.0
2010,163632643461724.94,163546471056039.94,164150921308658.0
2011,163198529626172.88,163128279244343.4,163679149680589.7
2012,162771049287125.3,162789894746277.6,163196192088676.38
2013,162419030923524.2,162312315301528.53,162792122062124.25
2014,162050525168778.44,161925336225868.47,162337111348178.22
2015,161688494130890.38,161484947528031.1,161756705708723.7
2016,161278331737730.28,161098804895979.0,161088388368915.88
2017,160875904611554.53,160676279172453.03,160604094883958.8
2018,160348233161232.5,160162925804264.47,160076034992368.06
2019,159857288198788.44,159731178564161.25,159592352991795.94
2020,159251431141519.56,159311879702544.44,159194618424139.78
2021,158866889492775.78,158692157515160.97,158618233799911.72
2022,158447744303554.2,158116015133561.53,158120915147990.25
2023,158024239824525.53,157673757963244.7,157481418743757.94
2024,157328476779237.97,157295183878124.16,156912072319406.56
2025,156818779127791.75,156723958561834.3,156422655387441.62
2026,156247279515436.78,156184031475253.28,155892286532817.56
2027,155581757389407.12,155726714549602.1,155149153064926.66
2028,154956453749826.12,155235992618168.16,154578440588569.44
2029,154261936277220.12,154785095148361.03,154019758572423.75
2030,153649976920409.56,154284039346618.16,153566348458135.44
2031,153109215499313.94,153805119748041.7,153068832091203.47
2032,152549707168845.44,153371201493787.7,152590877330185.22
2033,151781995520246.12,152889730712437.56,151928562945986.88
2034,151155708869995.12,152334698905387.2,151184785156314.94
2035,150408285713278.2,151767160939993.62,150637958625586.16
2036,149787021672153.06,151136873235949.12,150163688523959.9
2037,149050313336215.28,150486796471764.1,149711752325367.25
2038,148177025422564.47,149787148923775.56,149009709836700.2
2039,147507294912066.94,149274517043541.4,148423913196954.62
2040,146837329583676.44,148584080445190.12,147818869393942.5
2041,146267225876179.38,147873500861936.06,147204274789522.53
2042,145644086477433.94,147102757313879.94,146638509236071.6
2043,145009761548511.97,146473568637155.06,146058103898041.25
2044,144310275300828.25,145848334560600.56,145169674929090.25
2045,143565874188606.1,144850734175487.5,144499429255597.3
2046,142944858158231.4,144118103492823.1,143790787031683.84
2047,142269531992082.44,143371482922373.62,143079447861042.6
2048,141602851495043.66,142623543284493.62,142441626129747.25
2049,140864249608707.06,142013971149238.88,141673163978868.5
2050,140226614840245.31,141457608227519.2,140940164744455.25
2051,139459376717929.72,140805200091415.88,140193004440604.56
2052,138660443166308.94,140181199868454.53,139463385454113.6
2053,137743289340750.78,139380804391302.73,138738484234122.9
2054,137042095369919.75,138613073633972.17,137985786920502.69
2055,136435779822717.62,137961810895225.16,137400466284635.16
2056,135697565134087.42,137241290179106.53,136688125838195.62
2057,134934969671596.28,136635801701476.03,135940367764196.66
2058,134090850730338.2,135845896807584.73,135316444996766.61
2059,133296367868887.78,135150070019499.73,134664602873557.72
2060,132541749931448.56,134478515412181.94,133987402765961.34
2061,131813657201083.19,133780963848812.12,133278684427684.0
2062,130882130126266.84,132861448586956.03,132374875253625.78
2063,129974008257650.66,132250032231362.4,131537704624645.88
2064,128941015674502.03,131548492274661.94,130732027764878.19
2065,127999863217396.89,130823442057728.97,130007003015461.22
2066,127073116984506.97,130171877217098.94,129291274609779.17
2067,126346715576662.94,129315443770274.08,128533660878013.22
2068,125515039653596.69,128451592548135.69,127677655358564.38
2069,124521690316047.11,127590765801371.16,126769843662918.28
2070,123653391055445.39,126742702349629.72,125976995429472.23
2071,122668378859670.95,125875553487693.86,125196737313936.3
2072,121693681064142.28,124994056017330.53,124370196279357.44
2073,120879550615905.47,124178986740894.14,123588474908311.64
2074,120053760137447.5,123253682025480.6,122798669285322.47
2075,119202039977377.66,122394397029544.72,121955645473403.22
2076,118178277119678.31,121421298481614.03,121121876008004.34
2077,117205899607473.62,120570800795859.94,120262920836993.16
2078,116347623533878.44,119713954089997.94,119493330310601.16
2079,115304874108473.16,118779754363905.11,118646855012640.4
2080,114048186290360.11,117795150671035.62,117797997315654.31
2081,113140392468914.14,116947748447569.38,117001685364197.78
2082,112059567344534.89,116026918134187.25,116166393573143.97
2083,111023327085051.47,115135526049962.9,115324692007053.77
2084,109988600160515.23,114155361461853.47,114374512736526.75
2085,108955507300774.92,113166211998619.28,113369563414297.22
2086,107944945498798.34,112148293732140.75,112648877668513.7
2087,106765834638633.4,111290924722307.69,111756124766559.84
2088,105586580920183.34,110334739072989.48,110831129111267.0
2089,104363295678548.03,109361850971183.25,109910878621685.4
2090,103195028993312.34,108190099462116.03,109044021930157.58
2091,101902560952930.31,107019312071719.7,108324316412322.88
2092,100784931379139.72,105699674476535.0,107493527619006.44
2093,99564143754593.02,104641966967531.22,106727127250866.56
2094,98239844859373.34,103382068718796.7,105961740001527.9
2095,97230420426019.9,102280913838070.47,105118506324728.06
2096,96091684556588.66,101088268880679.22,104277634085588.56
2097,95020363299221.31,99932202704139.11,103514427686536.69
2098,94004973956609.05,98815381511332.27,102752682679659.5
2099,92826905408243.25,97721281527685.36,101905938057043.53
2100,91763636272725.1,96561472672283.5,101178534720976.34
2101,90672757931330.31,95208539172860.23,100484908409688.31
2102,89338336971195.22,94064705771974.31,99696505338314.8
2103,88334914669668.39,92765854289775.28,98882473572485.12
2104,87332807082312.81,91467831811371.22,98178877820742.83
2105,86062394213779.69,90154639019853.28,97385007819492.53
2106,84950068857875.08,88809511098165.4,96593612040435.69
2107,83856294677444.94,87375753447274.66,95807500189555.0
2108,82705518573855.73,86128792257360.25,94963413351819.5
2109,81540002011667.84,84759124935875.7,94176647994860.67
2110,80518288993301.4,83422874988848.66,93354856632989.83
2111,79335366184874.4,81962189408835.73,92474724421569.03
2112,78203104879167.53,80319544474429.17,91695924093316.38
2113,77303063340002.28,78885669402352.62,90701215222054.36
2114,76341432827758.62,77372921065460.81,89902800848507.83
2115,75218973756910.33,76000707464075.62,89103782041918.19
2116,74180306598220.31,74641962535264.03,88312531226482.39
2117,73144492779224.27,73217253511993.44,87485877339462.72
2118,72026417306343.62,72000384945118.4,86698696740310.12
2119,71031930469393.95,70838856583418.28,85943900181078.88
2120,70086669400559.57,69761493476070.984,85143109729644.7
2121,69174339896452.2,68515453037378.984,84323442732552.19
2122,68222438816842.58,67220291972258.56,83555527993751.72
