time,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,128710418898.97862,128710418898.97862,128710418898.97862,128710418898.97862
2001,127435675822.48729,128601332225.41113,128110195258.46867,128783239080.87852
2002,125531873753.16663,128529029670.71098,128720808993.42839,128580905796.30363
2003,123760174119.76898,126181299476.92561,128846531796.28418,127746476062.47351
2004,121888044937.81396,124628590211.19121,126059726458.23198,127795816238.64369
2005,121149293239.74469,122540376511.87698,124676229348.50255,126070045812.29062
2006,119975305067.6841,121686084275.32317,124046033075.12804,124466240411.45654
2007,118638294440.75337,121707345025.83571,122452014488.93376,123276834485.39558
2008,116104602364.15262,121274540731.05272,120469791911.40817,121680060822.6291
2009,114225395470.49896,120326986695.5544,118200930289.30011,120320994954.28656
2010,113717791725.54576,119631505462.86873,115915407098.45174,119455833991.57802
2011,112193773197.97926,118299326874.27747,114581781108.5246,117677115356.23785
2012,110877424525.75392,116790733453.65045,113828815816.96399,118287305601.21951
2013,109669021439.41064,116021643118.02435,112208509627.05351,117527170132.96965
2014,106827670150.3823,113490880637.19707,109582229534.00757,115960351228.48514
2015,104786794758.70795,110655918086.02928,108550880448.8235,113816828402.58821
2016,103224474944.82506,108069665888.69975,106705733944.18793,111153677831.28377
2017,103468329162.68497,105212325805.7244,105207868094.85649,108709165905.20993
2018,102405948304.43326,102841012921.53606,103757134132.62775,106362033767.26472
2019,101857584263.5488,100885969973.53563,101088546251.83331,103531713311.41957
2020,99956170284.91496,99799249701.88902,100013856421.95422,100208149680.17079
2021,98033648882.75641,98024821310.30171,98713798857.96252,97730252686.292
2022,98290424975.3306,95469517583.16014,96536161879.2423,94836194346.14806
2023,97012252292.37285,93663308739.6128,95470963568.53894,91222339192.01929
2024,95593424353.53847,92395301113.32133,92887961322.8798,89008800600.37074
2025,93653079004.10583,90005803411.38875,90760844115.00514,84927915908.5533
2026,90334163025.34698,87712405541.75954,88114402026.25267,80806667881.20444
2027,87223914846.27809,85202627131.17952,85977785429.97403,77178419809.85847
2028,83788449212.00818,82823714907.28676,82551323536.71774,74242083975.29004
2029,81660641746.65672,79856055237.131,79594882524.5679,70723830470.6917
2030,79025396590.82156,76803830938.52032,76868318078.36086,68595001234.240005
2031,77000853638.88504,73396355843.94841,74315501196.68709,66083886694.65734
2032,75147104997.4244,70179113707.0647,73328198225.94916,62191131237.77477
2033,73806745395.53345,66904957577.32388,70419596233.13129,59345329469.88474
2034,70966677185.99661,64289573983.97063,67035605117.26183,57009547729.244705
2035,68333732193.3385,62663523607.598976,63619951064.968994,54326122021.56217
2036,65799178508.288,60460891853.53483,61619036078.09866,53141710562.87479
2037,62823105828.24168,56886298645.667404,59899412627.79016,50781942842.82805
2038,61086163437.4994,53800086817.21719,58371298474.35458,47439804885.20292
2039,59008144394.92954,51939210102.31624,55755075393.607,44143145300.08558
2040,56422120167.1559,49586311764.03699,53299059218.341156,42078054226.98759
2041,54062451854.71734,47537651384.34783,49471446476.27763,40953992233.98225
2042,51207639197.471695,45113768992.381035,47614623389.53047,38330363472.88274
2043,48449406622.02152,42322256744.01065,45128705293.523186,36043841794.628914
2044,46636245140.967316,39540823848.99856,43471990702.12164,34898339258.5573
2045,44516665501.48047,37478362197.21879,40715610047.82,33136951845.94793
2046,41764681304.12173,35509567618.58645,38435427644.53477,31488141115.535038
2047,39764194322.63621,33282219358.84305,36691740242.789276,30901076581.15983
2048,37823824125.61866,31143419087.86977,35093258306.46441,29813604709.426414
2049,36076460609.67123,29701084940.885994,32715439182.980915,28746890165.806763
2050,34348464345.492413,27846822622.986794,31097756812.30313,27588086999.082794
2051,32565635857.24077,26016110735.851185,29116006621.73988,26164535248.95294
2052,30847494091.442844,24878659583.84195,27570918347.69425,25590671124.22945
2053,29031996634.304447,23519432731.49883,26273546544.800312,24815865285.565094
2054,27717098372.300243,21932452944.427395,24951894530.47989,23819862848.251423
