time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,128198034878.4154,128198034878.4154,128198034878.4154,128198034878.4154,128198034878.4154,128198034878.4154
2001,123664769418.75255,126033677956.60425,127334559911.809,126013741361.21169,127662736830.27306,126089280862.41882
2002,123990514122.66328,123584698906.25261,124129029576.50543,125174027851.0903,126201575512.54277,124964466711.91197
2003,121714445674.80502,122568064307.9326,124817653945.58566,122961776371.93944,125420980267.22124,124700442165.18002
2004,118832749667.33745,120104728505.49269,123472511667.36697,117360823679.5859,121901029649.5496,123848360077.98521
2005,116863108648.98035,117954270855.88931,123126887617.81161,115661084797.99017,121182357963.85915,124728155914.74547
2006,115611309323.59276,116623116709.89024,119382515181.55673,114517400461.83875,119478477910.79233,121089429319.15015
2007,114558146732.50099,115273006500.05725,117839392472.30505,112682290780.2137,117601463607.19211,115840214225.10484
2008,114595005051.28795,116865408072.79648,116787319663.71425,110840406009.97339,114041502643.44495,113972263071.80788
2009,111114126716.9514,116709278900.49393,115666488294.6213,110047057593.45229,114953693339.97894,111412987882.7417
2010,108053649567.19026,115074648240.59279,112262707963.21281,110651238171.48433,112657227287.23572,111225302804.60278
2011,106137270050.12785,110681445013.02881,108142820884.97678,108904989593.01453,111292723523.44414,110686952374.42755
2012,104812849017.76144,104153569522.00276,106415965756.8667,106634822381.64325,108756965529.89766,109876658294.64233
2013,104528218581.02736,100522187510.36981,103866049363.69632,105547411884.65337,107622625035.9896,107867304843.8125
2014,103106490172.02007,99045514607.83104,100157203976.8416,101573870569.12378,103800751729.99458,106380299069.91228
2015,98317654600.0107,98254185591.4249,98777756318.45555,97732296140.56,102093585458.00504,103138075052.41089
2016,95836431864.47566,97478031767.8614,96710709412.02748,97655616379.729,98957335921.56758,99675575576.72533
2017,94373689161.72916,94868190533.02727,94397985662.27286,96095057566.26485,93204864262.31906,92983711040.77911
2018,91387971379.41246,91535119417.74196,92119744990.35745,92523962617.33664,90698069671.32355,90453871295.76112
2019,89186223959.8391,88971742529.36327,90399939553.41075,91729342401.39268,88051400814.12215,88269309281.37383
2020,85918345437.41902,85362662488.7695,85953324462.13115,86701528539.57825,84974541482.72377,86634303884.32002
2021,84140357499.1289,82198246048.74803,83611319598.68503,85507795204.66914,82444500501.88011,84254302736.60129
2022,82400131054.69283,79908485537.96777,84380285345.64441,81631425483.08691,79346808077.6038,80949197556.27046
2023,79231964008.53629,74836720243.18665,82842080616.78845,80401698970.95389,75925803206.33763,77226523626.9392
2024,75395740812.78493,72983261305.7119,80266008440.19221,75535695479.86508,72671267467.34045,71639851240.40302
2025,69507834649.69472,74115350035.15482,79906315019.02528,73368917549.02292,70082427479.0236,67823005595.70186
2026,65239846896.79958,72835268582.29373,78037398327.00081,69647728670.99524,70045909189.85832,65955664326.02605
2027,62144256035.91747,72393307140.24736,76267207094.55302,67209407735.42718,68206814438.94519,62201772214.21053
2028,59539355347.392654,70670851678.95235,76973483004.37419,63897132064.77142,66402327630.069405,60479914767.67706
2029,57055507335.24599,69995215814.44318,75820981340.53357,61707515464.51538,63183875195.06507,56370007773.175095
2030,52876109372.179665,66949401368.696815,76329374952.04623,59371420548.42526,62071936789.11538,53839651199.40271
2031,48379340007.27023,64722631596.99642,71775054516.5954,56382578118.08959,60339310202.08976,49330137615.66605
2032,46246688165.70849,62839605080.78935,71041588230.74753,56591171624.6116,58914199495.49406,46561625056.97305
2033,43862267753.99985,62364231499.73693,68102286118.74124,55010845925.915634,57026397106.258804,44388594330.578575
2034,41698749294.27916,59596618424.57967,65916998675.1579,51877632505.996475,54598756223.47637,42516044065.00712
2035,39415304395.90111,56101803213.86992,61203275669.85686,50571067495.75965,50292948183.086105,41212998357.19239
2036,35893199132.150665,54495738234.45469,58163972894.75061,49460470568.07977,46455930153.67721,39092324162.498985
2037,34990719881.65981,51322309383.826866,57109544430.43822,45505120176.94745,45590545408.901085,37448657375.44325
2038,33185765248.04165,48291342302.87209,55868826608.43543,42990689885.40509,44211539707.127304,35632535516.13847
2039,30928788299.457787,45832040735.452415,52884278778.19268,40907535837.92929,42660814559.11708,33233493521.9909
2040,29601936606.905586,41668076711.63151,50623612884.831795,38217160555.58422,40528457355.27247,31203230546.23261
2041,27694042148.925793,37598620200.20745,48624631446.29424,37646319116.324684,39125282067.15421,30175481634.043484
2042,26231107755.05289,35992997690.671455,46769294870.49469,35958694204.66191,38903431702.85364,29418590862.83431
2043,24439484922.93905,34053717424.96254,44085481468.80899,34707672889.45835,37187910246.239204,29367963542.115364
2044,22937344437.52564,32974400248.317265,43990077302.79561,33997727038.12327,36043208283.405945,28299418246.01587
2045,22078317867.05002,29051827206.027756,40618022784.296455,32010813543.451984,34704625917.49015,26663042811.631084
2046,21436327929.27901,27512446821.200226,40102268003.23929,30538570123.751217,33458191811.670918,25368087516.4787
2047,20931665311.64194,27402503591.190353,38310145543.85367,29106632197.70279,31489678077.952095,24586980040.648594
2048,20609720328.150772,27965198143.871845,37784575507.90435,27660594592.84758,30415368695.603214,24004347247.093548
2049,19818242787.844482,27585997386.188026,36461087102.24441,25963572314.801613,28667124167.035717,22818345604.14576
2050,19213345618.095013,26334990216.547745,35785240590.89909,24671088406.187366,26857537718.70602,22298730014.32283
2051,18860253110.36647,26019421359.108738,33576264473.722633,23600023700.959305,24286963289.367176,20870155576.153957
2052,18441747275.41892,25048959459.62255,32827752314.347816,22245201873.463238,23635720775.131195,20213958709.16817
2053,18174172631.42756,23878998581.466496,31575541200.826996,21679600050.40647,23181618201.34033,19684504225.09365
2054,18199702359.99999,21745796810.456837,31490877126.75689,19902103066.14882,21548045826.567562,18496230936.700947
2055,18272892864.672913,21145183146.478935,30991003501.787235,19263297899.302696,20212702347.53944,17661937671.401947
2056,17266392707.09973,21062159129.66683,27654094306.202106,18806893813.52417,18933946236.447083,16355209847.81023
2057,16114463652.93047,19812755208.176292,26609620364.248337,18100302179.659103,18460886406.346153,15539342688.962196
2058,14845689722.02337,18591259132.68046,24400214579.86313,17455427762.26198,17809189532.086193,15141974763.545023
2059,14200482600.41402,17911574801.78334,23766508482.58966,16832409344.325378,17256788786.559544,15130699177.043287
2060,13619140960.905573,16549434685.815952,22568577232.52911,16152397941.244005,17389108600.364273,14506305814.3391
2061,13780154854.13214,15715011119.68425,21857767815.41772,15223767913.12432,16677958225.201294,14140324555.565378
2062,13009872207.886358,15778762198.834377,21037266238.62315,14973352141.337038,15920679882.794436,13754525828.066397
2063,12381353809.040102,15538283378.63901,21400683868.89415,15042815340.36618,15904956823.410725,13581787625.404129
2064,12229458581.563692,14932387002.226435,20543945749.523495,14878649999.075293,15152059428.348866,13448593503.776854
2065,12104332857.898802,14527612250.152514,19921486141.320213,14335626953.40496,14387657336.835033,12756871097.190266
2066,11891312361.165712,14423262571.606337,19075079902.191086,14044929462.94626,14677084239.46846,12320814964.450653
2067,11425868560.237278,14375151551.828642,19145032341.251865,13889427037.208387,14444955292.388763,11702413847.276403
2068,10922445592.279291,13800659297.46159,18686450279.283504,13734687565.209448,14162864884.42908,11313834519.074112
2069,10654501584.565334,13270744087.643187,18325631001.19442,13586262812.716438,13943307398.225605,10975831392.690275
2070,10418770961.625551,12719619334.651783,17085603552.822012,13552046944.617434,13724136489.514519,10798057574.900932
2071,10196944405.37532,12452686387.321867,16098968268.013195,13261760350.839565,13433270993.134775,10500757643.33926
2072,10165756883.906189,12179320067.449137,15241286749.016476,13133549673.20097,13308050504.776005,10554259281.850206
2073,9941823422.083971,11604102537.486559,14374981182.32702,12858428401.21877,12629931221.764881,10802763102.38921
2074,9582565111.631575,11966472562.80982,14225035848.29733,13081974977.364086,11961812804.124975,10946563478.592339
2075,9361926852.737684,11665178657.886639,13842259949.190157,13263355690.319304,11129236022.43777,11169309052.864098
2076,9413455924.88832,11843620491.82296,13406488941.576694,12934834149.976015,11234105548.639324,10929441671.572727
2077,9775383153.553,11867840051.069618,13858642131.483053,12888164302.412378,10880832008.824005,11077401537.943314
2078,9572401599.063477,12353072338.703325,14050860237.823349,12945630604.550932,10633715627.011072,11196060743.270655
2079,9475468561.32779,11481229219.452515,14081616029.666441,13109820186.91587,10454088878.131275,10747046259.138447
2080,9145067009.80338,10816641107.17285,14175897034.199465,12841045051.86808,10355157792.940928,10603373097.161743
2081,8773713153.5627,10386864525.353374,14004409390.276339,12315830060.698553,10065714268.739937,10585581323.549572
2082,8741995098.94819,10206859069.966959,13140471363.528965,11980703398.49427,10098780138.615108,10733879554.406734
2083,8595735988.7713,9905125888.913153,13136590898.877478,12047734309.939102,10381854319.08553,10717248022.148197
2084,8525018336.532967,9605202168.655104,13036240270.387472,11857457761.302502,10272800597.355658,10983179727.189054
2085,8438174755.231143,9305300078.011518,13016281509.926222,11757781741.008638,9967350907.357521,10799698974.14531
2086,8579260584.548169,9872510651.021805,13410635208.877863,11868220124.714077,9665119442.594582,10768813901.331808
2087,8646682068.871271,9258901706.93303,13416343545.095936,11463701499.296688,9415653543.340122,10984665248.127739
2088,8802306828.653435,9463204834.95941,13763751735.669985,11821858321.10139,9075627636.839165,11167823148.459835
2089,8960622710.121351,9390216549.616095,13629476801.09683,11487069756.4781,8954929248.618553,11203734276.439667
2090,8836813584.701181,8838924071.451569,14147471105.2508,11309033396.161827,8819561351.231668,11424248546.184275
2091,8614624344.344255,8560751839.2163315,14157632663.686243,11276875209.78898,8801902994.303066,11718586452.64382
2092,8377259640.492402,8786267548.175535,14424643881.860836,11169932341.601942,8844611870.192425,11591592245.278574
2093,8345994868.189253,8446324038.813714,14354456747.619263,11009988963.13525,8992615356.716152,11943254594.792358
2094,7879375032.324388,8469670315.479732,14753890577.736534,10810358184.095499,8864162342.70868,12047153625.457676
2095,7877630797.3788805,8325905942.623845,15174440185.77753,10374976797.87161,9140709749.697866,12024030227.26282
2096,7861669471.938573,8028605436.5793705,15499257882.845272,10699770114.611248,9367438701.519247,12509178179.781507
2097,7708875528.772127,8064350718.19317,15160088549.686567,10930114370.289526,9161795320.538027,12447301895.100424
2098,7490475606.106833,7818733579.152106,14695866024.478428,10862234252.27938,8804925254.373896,12215286326.3414
2099,7310012468.286234,7508815395.389426,14192306518.631447,10863452182.893133,8926344193.765732,12114984142.495127
2100,7203327311.7162485,7495172166.588185,14081157997.759478,11361185137.278078,8871552142.550657,11822772025.178097
2101,7197019900.07828,7415835224.529529,13269173035.890682,11499966566.515738,9317803311.651834,11980929691.015184
2102,7332870128.522188,7366696148.213343,12928647145.87831,11614551214.591232,9597884527.527534,12369728201.683918
2103,7264115828.777223,7463327177.022248,12666518208.868353,11041892698.083757,9695184586.380411,12200613746.890215
2104,7243070868.4166,7664625238.138426,12145890863.286428,11034333501.255728,9727343976.085403,12189440798.164406
2105,7183419619.381859,7764746548.878281,11606033477.029747,10897893574.087639,9503291637.551197,12298524971.6967
2106,7177258405.533974,8207543836.2357435,11596909179.88107,11116922405.942862,9644042326.970442,12369916547.633127
2107,6900020450.180003,7932850537.12829,11868409724.7795,10999119255.191053,9401271533.8613,12667869072.116917
2108,6697554438.42245,7785857108.62683,12339252377.663145,11320331934.811298,9796127078.329275,13064170875.734798
2109,6427984947.813287,7893569177.76539,12193529437.130033,11286666003.140167,9656203769.240938,13042511418.098497
2110,6402894893.408189,8068424753.954992,12551975518.521969,11166664864.924654,9717153316.139347,13551032933.158136
2111,6229395984.893997,8208420957.188722,12381089248.575684,10967219400.351099,9297373511.735914,13361660451.8852
2112,6427707346.478947,8344818219.839504,12517677538.79576,10948565879.971205,9214539973.07651,12918628992.916224
2113,6245190826.432301,8571489967.739096,12946591654.099606,10865409995.788029,9195609019.378948,13455592944.37194
2114,6146509211.093019,8695651312.066708,12943853821.908773,11381632411.949577,9259765682.062746,13037711798.837393
2115,6176805990.402509,8660945257.528822,12805422026.05989,11611882878.108442,9357404932.254763,12922485590.986708
2116,6172007603.727964,8622068895.158905,12612876986.316645,11810442242.284044,9251071545.617233,12873577630.034327
2117,6038678913.935804,8480738342.021409,12501146505.984007,11791743110.768234,9880063365.480362,13045659847.612288
2118,5998636201.198644,8535776957.930446,12329228433.90726,11853133870.995392,9827792621.911457,13313476691.376122
2119,5925700279.773251,8524583937.84068,12025456203.75759,12025214368.18237,10289287805.06239,13375964658.326498
2120,5660262198.627259,8218807948.7604475,11981338429.124481,12170741121.490849,10172836035.44201,13665011684.477234
2121,5666299722.112827,8161548153.038855,11854115114.365454,12213531085.214188,10019650554.53647,13913847029.986938
2122,5513726259.968977,8528289781.518917,12120384638.859077,12827213828.001839,10160057045.24502,14380521026.914398
2123,5428378273.407196,8356347955.44013,11701228891.757792,12550618025.220482,10149400777.680864,14460612255.172123
2124,5295045896.6884165,8327204123.7008,12452437645.370682,12682077076.518694,10411407525.264624,14487248759.72106
2125,5257247536.6047125,8454580307.659743,12773986971.348066,12722133284.093918,10369349238.761671,15051503524.219667
2126,5073631558.726077,8557342404.588421,12758477904.559849,12732036082.873777,10586438935.352848,14937596611.873337
2127,5137812596.430548,8926186754.403105,12130395521.964005,13026089092.03275,10547025745.30184,15132957334.618074
2128,5100365166.533003,9100168402.722305,12248174126.875792,12887759464.277626,10752412183.638887,14951569445.72862
2129,5334518861.153664,9261682166.936283,12696577043.202543,12848825950.871754,10625927691.978594,14904786038.96817
2130,5318125484.969149,9406373639.813631,12778680383.168566,13151273754.445621,10583995157.370169,15542736111.093048
2131,5302281598.088905,9197531065.283678,12892856875.653505,13328769699.922169,10659732733.257072,15518121570.516722
2132,5303033716.010113,9263214912.809967,13081342384.523338,13427041479.297995,10847883867.669647,16545431792.222534
2133,5308802443.681462,9293146529.701292,13171236808.909447,13244398766.129944,11264358807.580515,16333301927.71141
2134,5351142102.241889,9436123022.214302,13119700778.228354,13239113458.782948,12044435433.873161,16285105226.349556
2135,5490739873.490995,9268838992.871197,12752664180.999996,13708817252.269924,11617927664.323359,17025455894.51027
2136,5347200260.919376,9442619819.74517,13185997925.761429,14424283613.155025,11795448300.236174,16980316833.861656
2137,5610741345.095862,9250827377.136026,13238605697.367392,14191263611.069637,11893041979.704475,17142425421.59194
2138,5630622925.49122,9591614685.988308,13510556297.126888,14395201335.444149,11792843687.835604,17179179409.39651
2139,5615290482.900765,9597156477.202108,13503974173.561077,14718288453.71967,12255015446.984468,17683269431.650867
2140,5559707345.633275,9059080188.099606,13590461821.504568,14842504644.700989,12637747987.86538,17556495352.37404
2141,5417653555.898535,8810361266.656271,13782654224.227287,15043962841.696793,12880276594.68656,18618039643.47586
2142,5388852266.773186,8986914190.416101,13711959139.619514,15243493564.993229,12776547218.969826,18602832561.454754
2143,5388577605.414493,9013593929.567366,13891426270.190205,15409621288.518015,12750945836.194412,18076289642.037037
2144,5188890986.328844,8577605358.499935,13940707749.838667,15027028792.091335,12784827770.784012,18343117504.733673
2145,5290222876.480639,8873566766.446335,13675187437.912718,15007641997.789513,12615528554.085697,18624481213.77797
2146,5662661250.813438,9141118197.088856,13693199884.439259,15288470082.847454,12686980695.119854,18580877553.588577
2147,5606204214.096977,8994248298.743774,14375855598.16421,15083270844.886423,12634322631.516283,19528489079.385036
2148,5812102175.340455,8689064810.570723,14144811159.222546,15131869623.380371,12374722756.194534,19183294244.744324
2149,5853462093.999276,8762559211.390995,13592315666.061855,15593276187.121422,12362195705.898542,19559452035.783527
2150,5780814862.122872,8850784054.25174,13509112621.997643,15645278485.48044,12570111007.437141,20626281114.21481
2151,5521090125.217035,8475453306.100205,13716361577.622112,15897528363.019827,12745710177.101416,20944998344.688778
2152,5430455293.217429,8647637092.41257,13968117805.631306,16071563303.555122,13145866478.000126,20754522714.006718
2153,5590119169.925623,8629065777.349194,14202705561.184284,15955001334.678972,12847878719.993256,21211633859.94882
2154,5609882074.494988,8466189433.403042,15016468782.149157,15836493551.102215,12815114958.748383,20695826318.26853
2155,5609340285.319631,8493480017.116951,15292345299.218586,15879040669.025042,12929826948.005701,20494773736.471004
2156,5571257765.061048,8907140195.866488,15338500278.116112,15984052356.05974,12823297137.392342,20609981362.480312
2157,5659187977.098023,8671714279.039515,15361114262.00783,15930708647.069384,12731114399.56363,20876787792.346077
2158,5760151841.969816,9914249013.344614,15581520967.219698,15497186674.562122,12539889756.1722,20963974271.73054
2159,5797046047.406038,9679125060.95707,15910196405.055544,15144219267.925728,12420008351.47849,21411977210.15867
2160,5837495292.515494,9957857846.60295,15788857933.165413,15577333246.773195,12384519166.634493,21600806941.381996
2161,5893886099.62456,10365547566.942385,15445582471.724653,15719319613.629105,12341119128.208778,21894570842.5392
2162,5981142316.987796,10539301201.957458,15393842866.147713,15850441294.612392,12761779006.240303,22030194118.394077
2163,6018324277.323419,10283115426.420153,15706917327.237717,15947308605.300959,12594945120.575253,21826870840.890385
2164,6219682070.366098,10261532263.470879,15676118030.038467,15978210421.473282,12566734171.93583,22123706258.336525
2165,6283842433.713328,9933630343.207676,15610688807.19756,16284008312.679249,12543166782.899971,23009523952.22416
2166,6414905027.966601,9863829154.762854,16039762101.36149,16668198693.597897,12723548176.754032,22937503091.737896
2167,6357741445.089016,9849075798.50866,15762744176.232964,17018306620.544939,12719710986.668224,22679533312.342205
2168,6391738023.19589,9846185159.64208,15409478042.107504,17165735957.442308,12893821117.375952,22350801913.310116
2169,6425048834.024721,9872762949.43056,15477400177.534206,17018782085.35537,12725125116.535833,22390798668.81422
2170,6516848861.46187,9975011757.166756,15279777292.863647,17251740640.98338,13073207448.485788,23178750029.1663
2171,6432148094.043148,9926581766.80324,14781349423.028826,17293322042.90837,13377564754.009228,22781775350.080643
2172,6472468937.920311,10060989543.009016,15382880460.164862,17710043419.48215,13126336844.805819,22941912545.665062
2173,6516596491.342212,10313552328.139748,15854934997.143087,17620906753.079784,13208849491.177057,22632565568.767494
2174,6525213718.977891,10301550859.999826,15551142297.356525,17620592908.41545,12899554848.692749,23463071291.17657
2175,6652496322.639854,10419316518.280588,16937191738.465752,17606643016.693558,12729800303.063795,23366789813.252563
2176,6522139886.708644,10717099538.523462,16538686677.237688,17645508120.379322,13104063707.713303,23676714522.09763
2177,6619531251.697495,10759519055.75607,16990321247.033165,18231397298.552464,13063783968.458012,23617959345.57668
2178,6614494903.036235,11301676330.448957,16767728296.74738,18531724882.036976,13160268868.337341,23592564448.354023
2179,6957133183.352936,10913093715.715956,17042658619.980255,18523422541.217934,13232252614.328722,24070467235.332848
2180,7265463875.71693,11067190519.369276,16705279480.663254,18179038395.694283,12964544644.814716,24912761417.31561
2181,7247700264.261863,10934996925.240671,16526940494.596863,18702135348.695904,13077708134.287825,25051365172.679802
2182,7395915266.568333,11661828874.55002,16412884290.352839,19381489127.32034,13034513575.62272,25266452196.475487
2183,7335073685.897707,11765031735.60095,16782636466.884525,19676729298.09782,13015817123.988058,25167547106.342007
2184,7215964019.937946,11819607409.224596,16857104585.255808,19858654175.479702,13441203288.265957,25547083399.48094
2185,7352247744.116667,12034366551.563038,16628119775.92533,20152140962.21542,13437846385.359476,25539181533.02469
2186,7341278330.31701,12275184991.647032,17223323757.703465,19989879417.818897,13899705669.89781,25867306560.13843
2187,7484287568.063426,11951913036.481552,16774233737.208052,19682660564.919903,13947306643.651445,26649694067.809708
2188,7288850745.992374,12000396720.921837,16680508100.905117,19775404884.26027,13501369664.851654,27274930160.99376
2189,7175416449.383095,11898377049.516806,16948472666.416058,19595771353.993656,13691136873.648392,28312262089.649868
2190,7048408560.099263,11882829309.799746,16773136598.923101,19872419054.970646,13469245487.893465,28563479767.019024
2191,6861269313.274378,11748836238.279213,16627293184.974533,19051557942.186874,13708228212.64841,28245550113.920864
2192,6777326339.413525,11945737136.883305,16541176941.108019,19197668321.617474,13990050899.38933,27652999217.765762
2193,6942556234.033224,11973510451.699692,16710071982.919575,19632046574.744682,13949358849.47929,27446070980.884304
2194,6710249286.320548,11668193091.296352,16756427712.353151,19789209695.1764,14058200750.031612,27969109569.561085
2195,6589157650.890226,11554951950.649931,16742487516.72874,19887907388.893715,13924479786.759678,28208857229.08149
2196,6357293439.732068,11404274045.724371,16734590654.389692,19525365829.85386,14070923307.618923,28623068235.382717
2197,6512658619.129032,11502175560.708744,16560181107.963188,19553737468.645203,14383768322.401955,28668033863.847004
2198,6592911868.526468,11625039404.04049,16140401424.282452,19491336046.920357,14306358470.242512,28539156277.51977
2199,6599544069.906375,12170508975.448935,15884989580.323685,19650361459.88716,14413718753.771576,28881801892.495766
2200,6776798609.683543,12096451605.140629,15683686930.243662,19900627449.515083,14386516089.799795,28289902109.61408
2201,6878263600.529298,12040206503.963974,16126269147.766346,20881735096.59215,14804849265.441252,27903451253.951694
2202,6834107281.124627,12221964721.766867,16719391089.32789,20464302042.522423,14423454182.981716,28420648613.983875
2203,6823618804.739438,12733850527.662615,17201358940.114384,20673473312.339584,14672034686.269657,28628777352.488605
2204,6931504514.552348,12855633185.89151,17968830698.935104,20571195199.793518,14411682312.58564,28341271880.100395
2205,7172420669.836578,12833799734.066034,18011542704.968594,20392193206.962616,14476343777.469366,28695687932.713955
2206,7130839926.11257,12413140857.073706,18576774891.975925,20678557731.61566,14029679676.023048,28272409908.72802
2207,7183310273.533791,12754748851.692976,18482593657.784912,20471302524.29168,14126571261.240467,27506675008.43281
2208,7553567790.790196,12635240763.466833,18355193802.372257,20477155123.173912,14372259845.359894,27374021330.168537
2209,7464736196.338534,11947637959.271767,18087500947.170933,20558848248.530834,14218836981.55662,27027401326.640694
2210,7190155783.309506,11697333903.212566,18182241584.398983,21016268916.685352,14176255557.829733,26856811529.77123
2211,7202464785.840075,11500722513.685503,17981415770.10378,20952234590.414097,14063310882.661839,27254106134.669987
2212,7445941958.719199,11285016658.82167,18243706518.446552,20920700617.983044,13937058317.835484,27465900984.106007
