time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
2000,167671980358016.25,167671980358016.25,167670755106525.7,167671980358016.25,167671980358016.25,167679129175396.38
2001,167286995305304.22,167303846489993.9,167330205009476.7,167399315517190.34,167192227502133.2,167412129769600.72
2002,166993671053234.75,166946866518428.94,166888187243676.56,167195975297559.12,166845230105527.38,167025327364617.25
2003,166663899117976.22,166527940809124.9,166484019480362.53,166915047116127.84,166563583577956.6,166659079290347.12
2004,166262758495863.8,166151199348677.7,166145726138695.3,166561058727321.03,166294041114634.94,166432721768126.56
2005,165908166496537.03,165723046277556.97,165839218371203.4,166275039350425.75,165960334892193.62,166036272221295.0
2006,165610903799436.12,165349216666027.47,165505064742867.16,165937503120221.88,165529595893571.9,165677133177034.38
2007,165197180245950.03,165018044548515.97,165277099479456.28,165643911357937.03,165185205621876.44,165298363335733.16
2008,164918847883634.12,164655715118185.5,164961904740178.22,165380862902298.44,164884903016120.0,164882020545311.8
2009,164526621673882.6,164313140532032.62,164505895219116.06,165124179773389.0,164457629159825.53,164373785742737.28
2010,164246422970873.38,163819249089420.7,164057775943691.56,164651505964381.7,163931729431737.12,163953551654502.94
2011,163864775839757.1,163379332759421.8,163703675079560.9,164124800563386.47,163427960831337.97,163612094204993.84
2012,163422161553550.06,162915868468566.38,163317847534559.72,163605073403923.7,162985682541237.5,163193555275557.3
2013,162898576243692.9,162453624915981.7,162889670287662.2,163094795435696.47,162566444663398.47,162836540392268.22
2014,162367795404974.84,162034219513998.62,162442813758811.0,162572883285082.75,162097678677185.84,162382658500170.5
2015,161907995695468.8,161583669227170.88,161954830547266.44,161944537238488.62,161689050209605.38,162041202806593.66
2016,161344291963513.75,161178443208843.12,161518735188241.12,161462067435234.7,161334119262363.22,161611313942821.38
2017,160777980689190.4,160705804461011.5,160939412313836.22,160987256071012.94,160848065475478.84,161190892316436.84
2018,160332272800846.78,160318531052399.25,160445519697114.0,160353325309442.94,160364075199916.7,160684161369128.28
2019,159951999382080.3,159922587782276.1,159927565190785.38,159854409116580.97,159811998806644.88,160145042332504.5
2020,159426589890641.34,159461997492459.94,159374529982982.0,159347834425643.75,159467184185221.38,159508323524172.2
2021,158849383198973.22,158910735764445.38,158867986141320.34,158767007137659.53,158947805279875.75,158822394109520.0
2022,158296802734560.1,158264308237624.0,158289984701441.5,158101646207397.8,158382232784061.16,158338200049458.12
2023,157661861464574.62,157712546049825.88,157797828025192.94,157482324490494.03,157900429249527.0,157743048496447.38
2024,157154569243030.6,157225763335909.12,157167975801372.53,156891144087435.8,157394865483719.8,157267695917480.06
2025,156625322623423.1,156648710347752.16,156535669777772.1,156084834890813.34,156699785911346.78,156501786706716.47
2026,155962793717436.44,156009084331397.06,155742167766350.8,155260580984068.03,156032782092810.06,155853223593856.8
2027,155369005108775.2,155317418600847.88,155119969133984.56,154442945983282.22,155536017793162.8,155102375940598.38
2028,154655401002154.16,154502540760583.8,154451225570785.06,153675866395150.56,154941093671133.25,154476504647025.56
2029,154036736709953.28,153782159674679.22,153878488813608.03,153004129505608.16,154366869819786.44,153790119023046.16
2030,153334307701036.16,153192144767658.56,153280231770042.88,152243301813927.4,153859618391781.25,153235229007899.4
2031,152553659937091.3,152674660577049.38,152768372422622.5,151316722416611.7,153280409956009.62,152551439396203.16
2032,151836349260144.38,152006755041174.22,152126457703050.12,150526229039305.38,152669749392818.5,151830979074521.0
2033,151202506621560.38,151429267576853.44,151416249669615.16,149513436039146.53,151988869153074.53,151212931077041.88
2034,150509882256759.22,150900768598020.3,150690550835515.03,148659913339386.22,151252856668642.7,150513652756722.8
2035,149932144402564.8,150166588080471.28,150087032027885.9,147821223539720.34,150364578419463.2,149592338391634.47
2036,149218846954583.78,149429875944839.72,149285867119900.75,146987149941286.94,149566201712219.56,148872714279018.88
2037,148619651819897.25,148821468022375.62,148367531279038.0,146028319991038.94,148977472838410.25,148240844049011.53
2038,147836137366037.22,148257904793434.12,147735492821207.3,145130810685646.88,148297861376269.3,147444882559856.53
2039,147069431481866.3,147743132799693.56,146962140903014.44,144297714211169.97,147575115622428.72,146732992501505.12
2040,146372243412721.75,147190420033838.03,146191000240088.78,143462477750881.25,146755344076363.62,146011281644712.25
2041,145534720658162.75,146610411904275.88,145283630120007.3,142553685712077.34,146073647805366.97,145252926942156.6
2042,144736332738167.6,146038064265940.2,144498647177690.8,141635252026441.8,145349758900999.7,144612974152678.3
2043,144002486035571.3,145495660115751.4,143764352697760.94,140781690496152.38,144516859683216.47,143877252808469.5
2044,143098745873450.22,144692217568314.0,143138100297289.28,139895449628808.56,143806540679224.06,143156462219337.06
2045,142497169085772.88,144051118374026.75,142431481537868.16,138906054913822.97,143088371714951.53,142487800126344.3
2046,141694123434304.75,143550481670027.8,141694187705674.38,138009999122765.66,142338608053876.66,141720149981808.25
2047,140886152113554.62,142919254576980.2,140862107499238.97,137152072347253.98,141753665124479.47,141009897803361.0
2048,139898491012209.06,142368743673355.0,140266008046519.0,136148074865226.84,140891798987944.62,140350839897389.73
2049,139105821489987.75,141835969893430.28,139542700380958.03,135376345032016.47,140061492079727.06,139677433652182.78
2050,138187599402613.4,141414357703055.7,138878829418639.72,134600935372324.97,139230551489263.28,139089389476776.19
2051,137462508223894.4,140676475753753.4,138180027713381.78,133576682219432.62,138522912302060.03,138513627126741.72
2052,136664165867984.06,140145127606038.06,137500287612377.95,132803355685821.81,137774709707847.22,137802557925602.4
2053,135829607113149.22,139527100664256.14,136819735973688.52,131861644711165.86,137185609444486.94,137231671397431.86
2054,135099898318473.38,139097494749876.62,136213082216647.14,131055212060824.53,136580259509030.7,136502501400367.33
2055,134372064713344.28,138581527336227.39,135510668704483.69,130102743717314.69,136045253166165.73,135851040076845.44
2056,133779908571233.66,138141297828715.72,134722867147816.62,129327192335991.69,135398115848087.81,135133532449785.55
