time,ACCESS-CM2,ACCESS-ESM1-5,CESM2-WACCM,CanESM5,IPSL-CM6A-LR,MRI-ESM2-0
1980.0,93095453800000.0,93095453800000.0,93095453800000.0,93095453800000.0,93095453800000.0,93095453800000.0
1981.0,93095724100000.0,93095523300000.0,93095723200000.0,93096271400000.0,93095828300000.0,93095697100000.0
1982.0,93096336300000.0,93096059200000.0,93096120500000.0,93096070300000.0,93096251700000.0,93096435000000.0
1983.0,93094374800000.0,93094222100000.0,93094221000000.0,93093226200000.0,93093978100000.0,93094642800000.0
1984.0,93097459100000.0,93097375200000.0,93097398300000.0,93097867300000.0,93097501200000.0,93098051200000.0
1985.0,93099321400000.0,93099097900000.0,93099123500000.0,93099478200000.0,93098280400000.0,93100060900000.0
1986.0,93097684400000.0,93097503300000.0,93097669200000.0,93096921100000.0,93095968300000.0,93098510900000.0
1987.0,93094818700000.0,93094609300000.0,93094759200000.0,93092743100000.0,93093054000000.0,93095616000000.0
1988.0,93092910800000.0,93092691900000.0,93092811300000.0,93090212800000.0,93090974000000.0,93093672100000.0
1989.0,93090816100000.0,93090434200000.0,93090557000000.0,93087193900000.0,93088294600000.0,93091613700000.0
1990.0,93091134400000.0,93090493700000.0,93091055200000.0,93087006000000.0,93088388500000.0,93091868200000.0
1991.0,93085679400000.0,93084823700000.0,93085528400000.0,93080336100000.0,93082868100000.0,93086579500000.0
1992.0,93085338100000.0,93084547700000.0,93085197300000.0,93079848100000.0,93081658100000.0,93086407900000.0
1993.0,93087961800000.0,93087068900000.0,93087717000000.0,93082504400000.0,93084191000000.0,93088632000000.0
1994.0,93087697100000.0,93086901500000.0,93087651600000.0,93082625800000.0,93083836200000.0,93088527500000.0
1995.0,93086234200000.0,93085239900000.0,93086117400000.0,93081119900000.0,93082289600000.0,93086883800000.0
1996.0,93088608500000.0,93087175100000.0,93088241900000.0,93083763500000.0,93084416900000.0,93089104500000.0
1997.0,93090121000000.0,93088696400000.0,93089679900000.0,93085253200000.0,93086190000000.0,93090569900000.0
1998.0,93091681400000.0,93090074900000.0,93091079800000.0,93087011400000.0,93087635400000.0,93092041400000.0
1999.0,93090931900000.0,93088851700000.0,93090228300000.0,93086563900000.0,93085989500000.0,93091326800000.0
2000.0,93091508200000.0,93089565400000.0,93090682500000.0,93086572300000.0,93086994300000.0,93092193100000.0
2001.0,93073561400000.0,93070016200000.0,93072889400000.0,93069291500000.0,93065597700000.0,93075192400000.0
2002.0,92992835700000.0,92981952500000.0,92992518800000.0,93002482500000.0,92969165100000.0,93015662800000.0
2003.0,92969095700000.0,92945671500000.0,92966676000000.0,92984505600000.0,92945663700000.0,92981302300000.0
2004.0,92904177500000.0,92886204200000.0,92908544700000.0,92923519800000.0,92885939700000.0,92930053500000.0
2005.0,92822445900000.0,92808090800000.0,92830187000000.0,92852627200000.0,92815186600000.0,92864034400000.0
2006.0,92688292000000.0,92676164700000.0,92678278700000.0,92716214200000.0,92682016400000.0,92730797700000.0
2007.0,92527028400000.0,92480148500000.0,92510029200000.0,92552442100000.0,92515859400000.0,92570090700000.0
2008.0,92321278700000.0,92235452000000.0,92278853200000.0,92344441600000.0,92301427200000.0,92384326200000.0
2009.0,92100177900000.0,91988705100000.0,92048347000000.0,92086620500000.0,92001283700000.0,92173291400000.0
2010.0,91921189400000.0,91788660700000.0,91857695000000.0,91887134800000.0,91816616800000.0,92004658500000.0
2011.0,91761408900000.0,91599996700000.0,91696092600000.0,91711264400000.0,91641023500000.0,91855542700000.0
2012.0,91334869600000.0,91221086500000.0,91221102100000.0,91265186000000.0,91253193300000.0,91516946600000.0
2013.0,90892412400000.0,90815057000000.0,90768765400000.0,90914232700000.0,90908601300000.0,91164527400000.0
